ID,Pipe_OD,Pipe_WT,Yield_Strength,Tensile_Strength,Elongation,%C,%Mn,%S,%P,%Si,%Al,%Cr,%Mo,%Ni,%Cu,%Nb,CE(IIW),Pipe_Grade
133,8.625,0.25,48400,64500,21,0.24,0.54,0.033,0.009,0.069,0.002,0.011,0.003,0.065,0.076,0,0.3422,X42
134,8.625,0.25,51500,72600,14,0.25,0.6,0.042,0.025,0.067,0.004,0.023,0.003,0.065,0.09,0,0.3657333,X42
135,8.625,0.156,53500,80000,28,0.24,1.14,0.019,0.015,0.26,0.043,0.055,0.007,0.063,0.13,0.003,0.4558667,X46
137,6.625,0.25,44800,65500,26,0.19,0.49,0.018,0.053,0.043,0.11,0.006,0,0.004,0.009,0.001,0.2743333,Grade B
137,6.625,0.25,46400,68000,35,0.19,0.49,0.018,0.053,0.043,0.11,0.006,0,0.004,0.009,0.001,0.2743333,Grade B
138,8.625,0.219,55000,65500,32,0.2,1,0.012,0.009,0.01,0.001,0.007,0,0.009,0.044,0.002,0.3718,X52
138,8.625,0.219,59000,68000,31,0.2,1,0.012,0.009,0.01,0.001,0.007,0,0.009,0.044,0.002,0.3718,X52
140,26,0.312,62000,82550,27,0.25,0.91,0.026,0.011,0.01,0.006,0.05,0.03,0.05,0.06,0.003,0.425,X52
141,20,0.312,37800,61000,37,0.039,0.37,0.019,0.058,0.006,0.002,0.005,0,0.004,0.005,0.002,0.103,Bessemer
141,20,0.312,38300,60000,39,0.044,0.35,0.012,0.061,0.011,0.001,0.005,0,0.004,0.005,0.002,0.105,Bessemer
145,8.625,0.188,54000,72000,33,0.23,0.83,0.009,0.01,0.009,0.002,0.018,0.005,0.014,0.023,0.001,0.3758,X42
