Struct_ID, OD_WT_Ratio,Pipe_WT,Pipe_OD,Yield_Strength,Tensile_Strength,Pipe Vintage,%C,%Mn,%S,%Si,%P,%Al,%Cr,%Mo,%V,%Ni,%Cu,%Sn,%Ti,%Nb,%Co,Pipe_Grade
20,-0.487370611,0.2,-0.22739726,-0.344876526,-0.253918495,-0.160714286,0.348387097,-0.117682559,-0.728643216,-0.891774892,-0.622641509,-0.909090909,-0.619791667,-0.951020408,-1,-0.911363636,-0.818540434,-0.93495935,-0.92,-0.956521739,-0.8,3
21,-0.404554869,0.2,-0.315068493,0.721134134,1.062695925,0.267857143,0.787096774,0.167169584,-0.849246231,-0.922077922,-0.754716981,-0.890909091,-0.75,-0.910204082,-1,-0.977272727,-0.956607495,-1,-0.92,-0.97826087,-0.85,3
22,-0.063548915,0.2,-0.545205479,-0.411107957,-0.144200627,0.535714286,0.2,-0.312009656,-0.939698492,-0.034632035,-0.924528302,-0.654545455,-0.802083333,-0.893877551,-1,-0.95,-0.940828402,-1,-0.84,-0.97826087,-0.75,2
23,-0.063548915,0.2,-0.545205479,-0.392184691,-0.144200627,0.535714286,0.109677419,-0.309595655,-0.949748744,-0.034632035,-0.924528302,-0.618181818,-0.8125,-0.893877551,-1,-0.95,-0.940828402,-0.983739837,-0.84,-0.97826087,-0.75,2
24,-0.063548915,0.2,-0.545205479,-0.363799792,-0.128526646,0.535714286,0.2,-0.309595655,-0.939698492,-0.03030303,-0.924528302,-0.636363636,-0.8125,-0.893877551,-0.974358974,-0.95,-0.940828402,-0.983739837,-0.52,-0.956521739,-0.7,2
25,0.153969854,0.2,-0.632876712,0.169205538,-0.003134796,0.732142857,-0.322580645,0.396499698,-0.989949749,0.125541126,-0.79245283,-0.218181818,-0.911458333,-0.967346939,-0.974358974,-0.970454545,-0.964497041,-0.983739837,-0.76,-0.282608696,-0.95,7
26,0.153969854,0.2,-0.632876712,0.453054531,-0.043887147,0.910714286,-0.832258065,0.106819553,-0.989949749,-0.194805195,-0.830188679,-0.509090909,-0.734375,-0.86122449,-1,-0.9,-0.439842209,-0.886178862,-0.2,-0.652173913,-0.9,5
27,0.153969854,0.2,-0.632876712,0.500362696,0.059561129,0.910714286,-0.812903226,0.094749547,-1,-0.164502165,-0.830188679,-0.527272727,-0.78125,-0.87755102,-1,-0.877272727,-0.455621302,-0.853658537,-0.2,-0.695652174,-0.9,5
28,0.495616147,0.2,-0.726027397,-0.098874066,-0.097178683,0.785714286,0.083870968,0.191309596,-0.939698492,-0.073593074,-0.962264151,-0.381818182,-0.901041667,-0.951020408,-1,-0.970454545,-0.905325444,-0.967479675,-0.84,-0.97826087,-0.75,3
29,0.495616147,0.2,-0.726027397,0.058819819,-0.05015674,0.785714286,-2.22E-16,0.191309596,-0.939698492,-0.069264069,-0.962264151,-0.381818182,-0.901041667,-0.942857143,-1,-0.970454545,-0.905325444,-0.967479675,-0.84,-0.97826087,-0.7,3
30,-0.945755707,0.0784,1,0.626517804,0.141065831,0.196428571,-0.522580645,0.505129753,-0.949748744,0.298701299,-0.773584906,-0.709090909,-0.953125,-0.934693878,0.128205128,-0.956818182,-0.861932939,-0.951219512,-0.68,-0.97826087,-0.75,7
31,-0.869979299,0.0016,0.473972603,0.200744315,0.231974922,0.160714286,0.15483871,0.468919734,-0.849246231,-0.883116883,-0.943396226,-0.981818182,-0.848958333,-0.991836735,-0.923076923,-0.956818182,-0.889546351,-0.951219512,-0.92,-0.108695652,-0.8,6
32,-0.869979299,0.0016,0.473972603,0.200744315,0.231974922,0.160714286,0.15483871,0.432709716,-0.83919598,-0.874458874,-0.905660377,-0.981818182,-0.723958333,-0.991836735,-0.923076923,-0.934090909,-0.842209073,-0.93495935,-0.92,-0.130434783,-0.85,6
33,-0.797432724,0.0016,0.210958904,0.516132084,0.404388715,0.821428571,-0.44516129,0.565479783,-0.959798995,0.064935065,-0.660377358,-0.4,-0.822916667,-0.967346939,0.743589744,-0.981818182,-0.976331361,-0.983739837,0.04,-0.565217391,-1,8
34,-0.797432724,0.0016,0.210958904,0.516132084,0.388714734,0.821428571,-0.412903226,0.553409777,-0.969849246,-0.086580087,-0.811320755,-0.218181818,-0.8125,-0.967346939,0.666666667,-0.979545455,-0.976331361,-0.983739837,0.28,-0.543478261,-1,8
35,-0.797432724,0.0016,0.210958904,0.642287192,1,0.142857143,0.380645161,0.553409777,-0.819095477,-0.844155844,-0.811320755,-0.963636364,-0.739583333,-0.951020408,-0.923076923,-0.9,-0.593688363,-0.886178862,-0.92,-0.239130435,-0.5,6
36,-0.797432724,0.0016,0.210958904,0.752672911,0.388714734,0.821428571,-0.509677419,0.637899819,-0.939698492,-0.116883117,-0.849056604,-0.072727273,-0.838541667,-0.951020408,0.58974359,-0.979545455,-0.968441815,-0.983739837,0.28,-0.630434783,-0.95,8
37,-0.416563157,0.0016,-0.402739726,-0.603494496,-0.473354232,-0.142857143,0.058064516,-0.455642728,-0.869346734,-0.861471861,-0.962264151,-0.890909091,-0.864583333,-0.991836735,-1,-0.977272727,-0.956607495,-1,-0.76,-0.97826087,-0.8,2
38,-0.416563157,0.0016,-0.402739726,-0.587725108,-0.410658307,-0.178571429,0.129032258,-0.582377791,-0.788944724,-0.904761905,-0.943396226,-0.727272727,-0.916666667,-0.959183673,-1,-0.963636364,-0.917159763,-0.983739837,-0.84,-0.97826087,-0.95,2
39,-0.416563157,0.0016,-0.402739726,-0.527801432,-0.394984326,-0.142857143,0.44516129,-0.42063971,-0.809045226,-0.865800866,-0.924528302,-0.981818182,-0.859375,-0.991836735,-1,-0.975,-0.952662722,-0.983739837,-0.92,-0.97826087,-0.8,2
40,-0.416563157,0.0016,-0.402739726,-0.524647554,-0.347962382,-0.142857143,0.477419355,-0.421846711,-0.83919598,-0.857142857,-0.924528302,-0.945454545,-0.859375,-0.991836735,-1,-0.975,-0.952662722,-0.983739837,-0.84,-0.97826087,-0.8,2
41,-0.416563157,0.0016,-0.402739726,-0.512032043,-0.44200627,-0.178571429,0.070967742,-0.589619795,-0.829145729,-0.909090909,-0.962264151,-0.818181818,-0.916666667,-0.959183673,-1,-0.963636364,-0.917159763,-0.983739837,-0.84,-0.97826087,-0.95,2
42,-0.416563157,0.0016,-0.402739726,-0.471031633,-0.426332288,-0.178571429,0.212903226,-0.627036814,-0.788944724,-0.965367965,-0.943396226,-0.963636364,-0.848958333,-0.983673469,-1,-0.984090909,-0.964497041,-0.983739837,-0.68,-0.97826087,-1,2
43,-0.416563157,0.0016,-0.402739726,-0.467877756,-0.269592476,-0.178571429,0.864516129,-0.478575739,-0.567839196,-0.891774892,-0.830188679,-0.672727273,-0.828125,-0.959183673,-1,-0.963636364,-0.91321499,-0.967479675,-0.76,-0.97826087,-0.9,2
44,-0.416563157,0.0016,-0.402739726,-0.445800612,-0.332288401,-0.178571429,0.55483871,-0.546167773,-0.738693467,-0.891774892,-0.924528302,-0.745454545,-0.911458333,-0.951020408,-1,-0.961363636,-0.909270217,-0.967479675,-0.76,-0.97826087,-1,2
45,-0.806376824,-0.0272,0.210958904,0.799981077,0.60815047,0.892857143,-0.774193548,0.818949909,-0.989949749,0.151515152,-0.849056604,-0.454545455,-0.234375,-0.591836735,0.974358974,-0.665909091,0.045364892,-0.788617886,-0.36,0.065217391,-0.5,8
46,-0.933155885,-0.0496,0.736986301,0.878828019,0.529780564,0.839285714,-0.896774194,0.951719976,-0.959798995,0.922077922,-0.811320755,-0.509090909,-0.786458333,0.975510204,-0.846153846,-0.854545455,-0.309664694,-0.837398374,0.04,-0.065217391,-0.7,8
47,-0.980538325,-0.1008,1,0.052512064,0.119122257,0.214285714,0.032258065,0.553409777,-0.798994975,0.168831169,-0.735849057,-0.218181818,-0.96875,-0.983673469,-0.974358974,-0.975,-0.877712032,-0.967479675,-0.76,-1,-0.8,5
48,-0.728364391,-0.1008,-0.052054795,0.19443656,0.275862069,0.017857143,0.290322581,0.23958962,-0.708542714,-0.87012987,-0.773584906,-0.818181818,-0.802083333,-0.755102041,-0.743589744,-0.886363636,-0.644970414,-1,-0.2,-1,-1,6
49,-0.164967042,-0.168,-0.632876712,0.374207588,-0.003134796,0.910714286,-0.961290323,0.227519614,-1,-0.056277056,-0.830188679,-0.472727273,-0.838541667,-0.926530612,-1,-0.945454545,-0.767258383,-0.93495935,-0.12,-0.282608696,-0.9,5
50,-0.164967042,-0.168,-0.632876712,0.468823919,0.07523511,0.910714286,-0.961290323,0.227519614,-1,-0.056277056,-0.830188679,-0.472727273,-0.838541667,-0.926530612,-1,-0.945454545,-0.767258383,-0.93495935,-0.12,-0.282608696,-0.9,5
51,-0.922153212,-0.2,0.473972603,0.263821869,0.435736677,0.178571429,-0.187096774,0.625829813,-0.979899497,0.29004329,-0.735849057,0,-0.947916667,-1,-0.897435897,-0.963636364,-0.960552268,-0.983739837,-0.84,-0.065217391,-0.65,7
52,-0.922153212,-0.2,0.473972603,0.342668811,0.388714734,0.178571429,-0.15483871,0.625829813,-0.979899497,0.298701299,-0.716981132,0,-0.947916667,-1,-0.897435897,-0.963636364,-0.952662722,-0.983739837,-0.84,-0.02173913,-0.7,7
53,-0.922153212,-0.2,0.473972603,0.389976977,0.514106583,0.178571429,-0.116129032,0.637899819,-0.959798995,0.346320346,-0.641509434,0.163636364,-0.932291667,-1,-0.897435897,-0.968181818,-0.948717949,-0.983739837,-0.84,-0.02173913,-0.75,7
54,-0.922153212,-0.2,0.473972603,0.421515754,0.404388715,0.178571429,-0.116129032,0.637899819,-0.959798995,0.346320346,-0.641509434,0.163636364,-0.932291667,-1,-0.897435897,-0.968181818,-0.948717949,-0.983739837,-0.84,-0.02173913,-0.75,7
55,-0.922153212,-0.2,0.473972603,0.421515754,0.310344828,0.178571429,-0.15483871,0.625829813,-0.979899497,0.298701299,-0.716981132,0,-0.947916667,-1,-0.897435897,-0.963636364,-0.952662722,-0.983739837,-0.84,-0.02173913,-0.7,7
56,-0.922153212,-0.2,0.473972603,0.524016779,0.60815047,0.125,0.483870968,0.553409777,-0.798994975,-0.883116883,-0.79245283,-0.981818182,-0.8125,-0.87755102,-0.897435897,-0.945454545,-0.8382643,-0.951219512,-0.84,-0.673913043,-0.6,7
57,-0.922153212,-0.2,0.473972603,0.531901473,0.60815047,0.125,0.483870968,0.553409777,-0.798994975,-0.883116883,-0.79245283,-0.981818182,-0.8125,-0.87755102,-0.897435897,-0.945454545,-0.8382643,-0.951219512,-0.84,-0.673913043,-0.6,7
58,-0.922153212,-0.2,0.473972603,0.547670861,0.404388715,0.178571429,-0.187096774,0.625829813,-0.979899497,0.29004329,-0.735849057,0,-0.947916667,-1,-0.897435897,-0.963636364,-0.960552268,-0.983739837,-0.84,-0.065217391,-0.65,7
59,-0.86004142,-0.2,0.210958904,-0.439492856,0.07523511,-0.071428571,0.561290323,0.227519614,-0.829145729,-0.874458874,-0.773584906,-0.945454545,-0.776041667,-0.926530612,-0.923076923,-0.938636364,-0.850098619,-0.951219512,-0.84,-0.934782609,-0.65,5
60,-0.86004142,-0.2,0.210958904,-0.360645914,0.106583072,-0.071428571,0.561290323,0.227519614,-0.829145729,-0.874458874,-0.773584906,-0.945454545,-0.776041667,-0.926530612,-0.923076923,-0.938636364,-0.850098619,-0.951219512,-0.84,-0.934782609,-0.65,5
61,-0.86004142,-0.2,0.210958904,-0.16195162,0.090909091,-0.071428571,0.374193548,0.17923959,-0.859296482,-0.948051948,-0.830188679,-0.909090909,-0.760416667,-0.804081633,-0.923076923,-0.820454545,-0.360946746,-0.609756098,-0.84,-0.934782609,-0.45,5
62,-0.86004142,-0.2,0.210958904,-0.130412843,0.059561129,-0.071428571,0.432258065,0.251659626,-0.788944724,-0.844155844,-0.830188679,-0.963636364,-0.770833333,-0.934693878,-0.923076923,-0.965909091,-0.885601578,-0.951219512,-0.84,-0.934782609,-0.7,5
63,-0.86004142,-0.2,0.210958904,-0.130412843,0.07523511,-0.071428571,0.432258065,0.251659626,-0.788944724,-0.844155844,-0.830188679,-0.963636364,-0.770833333,-0.934693878,-0.923076923,-0.965909091,-0.885601578,-0.951219512,-0.84,-0.934782609,-0.7,5
64,-0.86004142,-0.2,0.210958904,-0.042104267,0.172413793,-0.160714286,0.35483871,0.082679541,-0.738693467,-0.913419913,-0.849056604,-0.890909091,-0.875,-0.926530612,-0.923076923,-0.9,-0.8382643,-0.902439024,-0.84,-0.934782609,-0.6,5
65,-0.86004142,-0.2,0.210958904,-0.042104267,0.172413793,-0.160714286,0.548387097,0.203379602,-0.75879397,-0.887445887,-0.811320755,-0.927272727,-0.895833333,-0.951020408,-0.923076923,-0.929545455,-0.842209073,-0.902439024,-0.84,-0.934782609,-0.6,5
66,-0.86004142,-0.2,0.210958904,-0.016873246,0.169278997,-0.160714286,0.35483871,0.082679541,-0.738693467,-0.913419913,-0.849056604,-0.890909091,-0.875,-0.926530612,-0.923076923,-0.9,-0.8382643,-0.902439024,-0.84,-0.934782609,-0.6,5
67,-0.86004142,-0.2,0.210958904,-0.016873246,0.169278997,-0.160714286,0.548387097,0.203379602,-0.75879397,-0.887445887,-0.811320755,-0.927272727,-0.895833333,-0.951020408,-0.923076923,-0.929545455,-0.842209073,-0.902439024,-0.84,-0.934782609,-0.6,5
68,-0.86004142,-0.2,0.210958904,0.011511654,0.122257053,-0.071428571,0.374193548,0.17923959,-0.859296482,-0.948051948,-0.830188679,-0.909090909,-0.760416667,-0.804081633,-0.923076923,-0.820454545,-0.360946746,-0.609756098,-0.84,-0.934782609,-0.45,5
69,-0.802707447,-0.2,0.035616438,0.374207588,0.489028213,0.125,0.548387097,0.324079662,-0.859296482,-0.852813853,-0.905660377,-1,-0.958333333,-0.934693878,-0.974358974,-0.915909091,-0.700197239,-0.869918699,-0.84,-0.804347826,-1,6
70,-0.802707447,-0.2,0.035616438,0.437285142,0.670846395,0.125,0.548387097,0.324079662,-0.859296482,-0.852813853,-0.905660377,-1,-0.958333333,-0.934693878,-0.974358974,-0.915909091,-0.700197239,-0.869918699,-0.84,-0.804347826,-1,6
71,-0.802707447,-0.2,0.035616438,0.957674961,0.815047022,0.982142857,-0.780645161,0.843089922,-1,0.333333333,-0.905660377,-0.545454545,-0.552083333,-0.436734694,-0.179487179,-0.734090909,-0.057199211,-0.821138211,0.12,0.565217391,-0.6,8
72,-0.766873718,-0.2,-0.052054795,-0.69495695,-0.802507837,-0.232142857,-0.922580645,-0.713940857,-0.899497487,-0.991341991,-0.943396226,-0.963636364,-0.890625,-0.934693878,-0.974358974,-0.875,-0.558185404,-0.707317073,-0.84,-0.956521739,-0.2,1
73,-0.766873718,-0.2,-0.052054795,-0.657110417,-0.661442006,-0.232142857,-0.55483871,-0.508750754,-0.748743719,-0.805194805,-0.849056604,-0.945454545,-0.885416667,-0.951020408,-0.974358974,-0.888636364,-0.617357002,-0.642276423,-0.84,-0.97826087,-0.2,1
74,-0.766873718,-0.2,-0.052054795,-0.635033273,-0.739811912,-0.232142857,-0.780645161,-0.641520821,-0.798994975,-0.757575758,-0.886792453,-0.963636364,-0.942708333,-0.959183673,-0.974358974,-0.909090909,-0.510848126,-0.528455285,-0.84,-0.97826087,-0.25,1
75,-0.766873718,-0.2,-0.052054795,-0.622417763,-0.661442006,-0.232142857,-0.55483871,-0.508750754,-0.748743719,-0.805194805,-0.849056604,-0.945454545,-0.885416667,-0.951020408,-0.974358974,-0.888636364,-0.617357002,-0.642276423,-0.84,-0.97826087,-0.2,1
76,-0.766873718,-0.2,-0.052054795,-0.486801022,-0.771159875,-0.232142857,-0.780645161,-0.641520821,-0.798994975,-0.757575758,-0.886792453,-0.963636364,-0.942708333,-0.959183673,-0.974358974,-0.909090909,-0.510848126,-0.528455285,-0.84,-0.97826087,-0.25,1
77,-0.766873718,-0.2,-0.052054795,-0.098874066,0.059561129,-0.160714286,0.516129032,0.118889559,-0.819095477,-0.826839827,-0.811320755,-0.963636364,-0.65625,-0.853061224,-1,-0.820454545,-0.266272189,-0.414634146,-0.92,-0.97826087,-0.65,5
78,-0.766873718,-0.2,-0.052054795,0.106127984,0.106583072,-0.035714286,0.677419355,0.287869644,-0.778894472,-0.818181818,-0.849056604,-0.527272727,-0.932291667,-0.942857143,-0.923076923,-0.988636364,-0.964497041,-0.983739837,-0.36,-0.934782609,-0.7,5
79,-0.766873718,-0.2,-0.052054795,0.169205538,0.310344828,-0.160714286,0.670967742,0.348219674,-0.809045226,-0.792207792,-0.849056604,-0.963636364,-0.802083333,-0.836734694,-1,-0.820454545,-0.143984221,-0.203252033,-0.92,-0.97826087,-0.65,5
80,-0.766873718,-0.2,-0.052054795,0.184974927,0.247648903,-0.035714286,0.290322581,0.29993965,-0.809045226,-0.800865801,-0.886792453,-0.781818182,-0.921875,-0.942857143,-0.923076923,-0.984090909,-0.960552268,-0.983739837,-0.52,-0.956521739,-0.7,5
81,-0.766873718,-0.2,-0.052054795,0.279591257,0.514106583,-0.160714286,0.561290323,0.287869644,-0.819095477,-0.766233766,-0.886792453,-0.945454545,-0.802083333,-0.853061224,-1,-0.729545455,-0.258382643,-0.398373984,-0.92,-0.97826087,-0.55,5
82,-0.766873718,-0.2,-0.052054795,0.311130034,0.21630094,-0.035714286,0.806451613,0.287869644,-0.829145729,-0.792207792,-0.849056604,-0.727272727,-0.921875,-0.951020408,-0.923076923,-0.986363636,-0.964497041,-0.967479675,-0.28,-0.934782609,-0.7,5
83,-0.766873718,-0.2,-0.052054795,0.453054531,0.529780564,0.892857143,-0.838709677,0.855159928,-0.959798995,-0.216450216,-0.830188679,-0.363636364,-0.760416667,-0.910204082,0.743589744,-0.963636364,-0.822485207,-0.821138211,-0.2,-0.086956522,-0.8,7
84,-0.766873718,-0.2,-0.052054795,0.579209638,0.435736677,0.892857143,-0.812903226,0.915509958,-0.979899497,-0.121212121,-0.886792453,-0.181818182,-0.755208333,-0.910204082,0.666666667,-0.965909091,-0.818540434,-0.853658537,-0.12,-0.043478261,-0.9,7
85,-0.766873718,-0.2,-0.052054795,0.664364336,0.250783699,-0.160714286,0.580645161,0.23958962,-0.809045226,-0.796536797,-0.830188679,-0.945454545,-0.703125,-0.787755102,-1,-0.818181818,-0.234714004,1,-0.92,-0.97826087,-0.6,5
86,-0.766873718,-0.2,-0.052054795,0.752672911,0.238244514,-0.160714286,0.509677419,0.118889559,-0.829145729,-0.818181818,-0.811320755,-0.994545455,-0.65625,-0.853061224,-1,-0.820454545,-0.266272189,-0.447154472,-0.92,-0.97826087,-0.65,5
87,-0.766873718,-0.2,-0.052054795,0.847289242,0.592476489,0.892857143,-0.793548387,0.927579964,-0.979899497,-0.108225108,-0.886792453,-0.163636364,-0.755208333,-0.910204082,0.692307692,-0.965909091,-0.822485207,-0.853658537,-0.12,-0.02173913,-0.85,7
88,-0.766873718,-0.2,-0.052054795,0.878828019,0.388714734,-0.160714286,0.548387097,0.275799638,-0.83919598,-0.766233766,-0.867924528,-0.927272727,-0.802083333,-0.853061224,-1,-0.729545455,-0.25443787,-0.365853659,-0.92,-0.97826087,-0.6,5
89,-0.724524749,-0.2,-0.139726027,-0.237644684,0.169278997,-0.160714286,0.529032258,-0.158720579,-0.778894472,-0.445887446,-0.830188679,-0.945454545,-0.979166667,-0.951020408,-0.974358974,-0.988636364,-0.960552268,-0.967479675,-0.84,-0.956521739,-0.8,4
