ID,OD_WT_Ratio,Pipe_WT,Pipe_OD,Yield_Strength,Tensile_Strength,Fake Elongation,C,Mn,S,P,Ni,Cu,Nb,Pipe_Vintage,Grade_Name
264,0.032115942,0.277,8.625,60700,82300,47.9099782,0.185,0.465,0.03,0.093,0.004,0.011,0.001,1950,Grade B
157,0.074888889,0.337,4.5,48500,67500,33.42214318,0.227,0.78,0.031,0.017,0.045,0.027,0.003,1960,Grade B
130,0.023536232,0.203,8.625,46700,72500,39.47820946,0.253,0.748,0.029,0.008,0.078,0.17,0.002,1975,Grade B
202,0.029019153,0.25,8.615,51600,73600,24.50527963,0.228,0.881,0.03,0.019,0.011,0.17,0.001,1947,Grade B
201,0.02354717,0.156,6.625,51500,65000,34.49274175,0.202,0.468,0.03,0.011,0.013,0.057,0.001,1959,Grade B
256,0.031333333,0.141,4.5,58500,77000,28.29163838,0.23,0.851,0.013,0.003,0.024,0.05,0.004,1977,Grade B
40,0.025391304,0.219,8.625,34300,52500,25.71145225,0.149,0.617,0.02,0.018,0.041,0.121,0.001,1953,Grade B
176,0.023255814,0.25,10.75,49700,68500,25.76201961,0.236,0.466,0.028,0.027,0.031,0.038,0.002,1948,Grade B
137,0.032115942,0.277,8.625,47100,55000,34.39842627,0.123,0.459,0.019,0.01,0.022,0.072,0.001,1933,Grade B
89,0.01405,0.281,20,42100,64500,31.57451702,0.271,0.441,0.025,0.005,0.007,0.012,0.001,1958,Grade B
177,0.023536232,0.203,8.625,49700,62800,21.90170823,0.197,0.639,0.016,0.005,0.039,0.095,0.004,1946,Grade B
165,0.032115942,0.277,8.625,49100,71500,19.36807599,0.181,0.471,0.012,0.073,0.006,0.013,0.001,1952,Grade B
143,0.041777778,0.188,4.5,47700,72500,29.30816798,0.186,0.54,0.025,0.02,0.059,0.086,0.002,1970,Grade B
230,0.025391304,0.219,8.625,54500,72000,43.47661086,0.231,0.44,0.024,0.009,0.026,0.04,0.002,1946,Grade B
254,0.028377358,0.188,6.625,58000,76000,32.75012791,0.262,0.713,0.028,0.011,0.053,0.18,0.003,1955,Grade B
154,0.028985507,0.25,8.625,48200,76500,25.30970682,0.282,0.92,0.018,0.006,0.016,0.033,0.001,1952,Grade B
155,0.014181818,0.312,22,48300,74000,23.97716445,0.232,0.486,0.04,0.017,0.006,0.009,0.002,1949,Grade B
205,0.032,0.344,10.75,52000,66000,44.17740533,0.243,0.485,0.031,0.019,0.049,0.067,0.002,1948,Grade B
94,0.052666667,0.237,4.5,42400,73500,31.26377707,0.24,0.71,0.017,0.01,0.023,0.018,0.001,1984,Grade B
168,0.037735849,0.25,6.625,49300,73500,31.19106165,0.192,0.451,0.028,0.036,0.051,0.115,0.001,1955,Grade B
127,0.032,0.344,10.75,46600,72500,17.05517037,0.268,0.438,0.021,0.011,0.014,0.024,0.002,1934,Grade B
55,0.025,0.5,20,37400,64500,38.42396042,0.255,0.631,0.024,0.007,0.009,0.012,0.001,1955,Grade B
61,0.037333333,0.322,8.625,38600,64500,41.4659462,0.295,0.442,0.026,0.006,0.012,0.026,0.001,1955,Grade B
65,0.025953488,0.279,10.75,39200,60000,23.43157551,0.164,0.513,0.017,0.007,0.007,0.02,0.001,1930,Grade B
167,0.028377358,0.188,6.625,49136,63969,25.81056562,0.225,0.736,0.029,0.029,0.024,0.116,0.001,1956,Grade B
229,0.037735849,0.25,6.625,54500,62500,32.85158589,0.173,0.814,0.013,0.01,0.033,0.013,0.001,1955,Grade B
206,0.037735849,0.25,6.625,52000,74000,17.42506529,0.248,0.388,0.032,0.026,0.043,0.092,0.001,1955,Grade B
145,0.025882353,0.33,12.75,47882,73734,32.82971139,0.25,0.67,0.021,0.016,0.022,0.064,0.001,1952,Grade B
95,0.052666667,0.237,4.5,42500,65900,35.10875867,0.21,0.655,0.021,0.007,0.024,0.033,0.001,1970,Grade B
51,0.031304348,0.27,8.625,36000,59000,5.013577831,0.059,0.359,0.05,0.093,0.005,0.005,0.001,1942,Grade B
212,0.023255814,0.25,10.75,52500,68000,35.88162943,0.196,0.458,0.024,0.03,0.047,0.046,0.001,1948,Grade B
45,0.02855814,0.307,10.75,35184,46681,28.61547709,0.038,0.378,0.013,0.013,0.031,0.022,0.001,1948,Grade B
71,0.033953488,0.365,10.75,40000,66000,58.19381194,0.21,0.751,0.014,0.01,0.023,0.031,0.001,1968,Grade B
113,0.023536232,0.203,8.625,45000,69000,46.85248747,0.153,0.727,0.024,0.011,0.009,0.015,0.001,1946,Grade B
90,0.027375,0.438,16,42200,63500,22.07293891,0.218,0.392,0.022,0.006,0.007,0.009,0.001,1951,Grade B
107,0.023255814,0.25,10.75,44300,68000,29.95600977,0.206,0.583,0.014,0.007,0.009,0.012,0.001,1946,Grade B
245,0.019607843,0.25,12.75,57000,77500,16.97719189,0.237,0.59,0.032,0.007,0.047,0.141,0.001,1941,Grade B
133,0.025882353,0.33,12.75,46773,74686,46.70348527,0.254,0.676,0.023,0.017,0.022,0.064,0.001,1952,Grade B
226,0.024470588,0.312,12.75,54500,69000,14.52821786,0.23,0.49,0.03,0.027,0.06,0.104,0.001,1949,Grade B
54,0.036173913,0.312,8.625,36800,65500,36.1076276,0.212,0.434,0.014,0.004,0.007,0.013,0.001,1946,Grade B
262,0.0156,0.312,20,60500,78000,38.62949019,0.225,0.94,0.01,0.01,0.01,0.009,0.018,1971,Grade B
124,0.037735849,0.25,6.625,46400,68000,36.76223619,0.19,0.49,0.018,0.053,0.004,0.009,0.001,1956,Grade B
60,0.027375,0.438,16,38500,64000,48.77055229,0.205,0.429,0.022,0.006,0.016,0.021,0.001,1951,Grade B
122,0.03008,0.188,6.25,45961,57208,34.70602704,0.12,0.407,0.02,0.004,0.112,0.113,0.001,1946,Grade B
233,0.025391304,0.219,8.625,54896,69026,21.95292399,0.229,0.435,0.038,0.01,0.029,0.036,0.001,1946,Grade B
126,0.03008,0.188,6.25,46500,60706,38.52039125,0.157,0.585,0.028,0.006,0.049,0.093,0.001,1946,Grade B
235,0.028377358,0.188,6.625,55000,70000,52.46979741,0.216,0.794,0.046,0.009,0.109,0.109,0.002,1946,Grade B
128,0.0156,0.312,20,46600,68500,40.03787155,0.165,1.06,0.009,0.015,0.013,0.019,0.001,1971,Grade B
41,0.032115942,0.277,8.625,34400,56000,20.32045795,0.141,0.448,0.022,0.007,0.007,0.012,0.001,1929,Grade B
58,0.037333333,0.322,8.625,38100,49500,49.95519664,0.082,0.453,0.033,0.01,0.013,0.03,0.001,1948,Grade B
237,0.029411765,0.375,12.75,55476,74505,13.53322095,0.245,0.783,0.028,0.013,0.007,0.013,0.001,1937,Grade B
239,0.024470588,0.312,12.75,55700,67100,28.39735444,0.226,0.489,0.026,0.011,0.032,0.048,0.001,1958,Grade B
80,0.027375,0.438,16,40900,63000,30.63545506,0.196,0.423,0.018,0.005,0.016,0.021,0.001,1951,Grade B
111,0.037735849,0.25,6.625,44800,65500,33.54791647,0.19,0.49,0.018,0.053,0.004,0.009,0.001,1956,Grade B
251,0.028377358,0.188,6.625,57700,74200,28.52833273,0.153,0.694,0.021,0.008,0.089,0.114,0.001,1946,Grade B
220,0.028377358,0.188,6.625,53300,67600,24.72229911,0.177,0.717,0.03,0.008,0.88,0.113,0.001,1946,Grade B
275,0.053714286,0.188,3.5,74500,84000,43.75700508,0.196,0.85,0.003,0.016,0.007,0.016,0.002,1992,Grade B
144,0.021797101,0.188,8.625,47732,61487,31.29897861,0.229,0.428,0.033,0.016,0.07,0.066,0.001,1950,Grade B
211,0.037333333,0.322,8.625,52500,66200,36.78678866,0.213,0.636,0.014,0.006,0.014,0.01,0.001,1957,Grade B
188,0.028377358,0.188,6.625,50500,65000,33.21926721,0.261,0.76,0.028,0.009,0.028,0.143,0.002,1954,Grade B
175,0.0125,0.25,20,49700,65000,28.93048423,0.22,0.76,0.022,0.009,0.009,0.016,0.002,1974,Grade B
103,0.052666667,0.237,4.5,44000,63000,34.80554316,0.105,0.401,0.028,0.019,0.057,0.131,0.001,1954,Grade B
149,0.017488372,0.188,10.75,47900,69000,40.60925033,0.199,0.832,0.029,0.014,0.066,0.045,0.001,1956,Grade B
273,0.029019153,0.25,8.615,66600,88600,5.315775309,0.251,0.827,0.023,0.013,0.009,0.012,0.001,1947,Grade B
231,0.028377358,0.188,6.625,54500,69000,33.02803987,0.15,0.751,0.015,0.006,0.09,0.157,0.012,1946,Grade B
476,0.02354717,0.156,6.625,55000,71500,13.17323633,0.216,0.543,0.024,0.005,0.04,0.075,0.001,1964,X42
328,0.015625,0.25,16,47400,71000,42.91095275,0.25,0.69,0.025,0.006,0.029,0.081,0.002,1960,X42
574,0.023536232,0.203,8.625,67500,81500,51.14948973,0.21,1.01,0.021,0.006,0.014,0.017,0.001,1964,X42
562,0.02855814,0.307,10.75,63000,76000,36.8905545,0.244,0.844,0.03,0.011,0.046,0.148,0.001,1951,X42
555,0.047,0.188,4,62300,73700,32.1,0.199,0.546,0.022,0.004,0.083,0.167,0.001,1970,X42
454,0.026352941,0.28,10.625,54000,77000,36.50753096,0.259,0.76,0.024,0.01,0.028,0.036,0.002,1950,X42
542,0.025391304,0.219,8.625,60500,69500,23.07494574,0.21,0.92,0.021,0.007,0.053,0.029,0.002,1969,X42
505,0.047,0.188,4,57400,69400,17.2,0.21,0.602,0.029,0.005,0.074,0.225,0.001,1970,X42
316,0.019607843,0.25,12.75,46500,72000,42.41730632,0.243,0.789,0.024,0.01,0.011,0.018,0.001,1954,X42
549,0.047,0.188,4,61300,68600,43.6,0.06,0.877,0.006,0.009,0.004,0.004,0.016,1970,X42
518,0.0234375,0.375,16,58500,70000,33.06193768,0.056,0.956,0.006,0.006,0.004,0.005,0.022,1999,X42
341,0.028985507,0.25,8.625,48000,64500,44.2,0.209,0.809,0.024,0.008,0.011,0.071,0.001,1967,X42
520,0.028377358,0.188,6.625,58500,73500,24.90933823,0.22,0.65,0.021,0.005,0.07,0.17,0.003,1960,X42
374,0.024470588,0.312,12.75,49100,76000,26.92638697,0.31,0.92,0.041,0.012,0.029,0.05,0.002,1950,X42
402,0.024470588,0.312,12.75,51000,75000,51.41966902,0.29,0.891,0.027,0.008,0.019,0.04,0.003,1950,X42
570,0.047,0.188,4,65200,70248,30.5,0.052,0.975,0.006,0.007,0.005,0.006,0.023,1970,X42
566,0.023536232,0.203,8.625,63500,81500,50.91981143,0.21,1.01,0.021,0.006,0.014,0.017,0.001,1964,X42
482,0.02354717,0.156,6.625,55481,69483,31.6,0.246,0.792,0.024,0.008,0.023,0.059,0.001,1966,X42
339,0.019607843,0.25,12.75,47900,66000,45.21002351,0.26,0.79,0.02,0.012,0.032,0.075,0.003,1950,X42
299,0.0234375,0.375,16,45000,78500,30.45836176,0.285,0.82,0.02,0.009,0.016,0.019,0.001,1951,X42
384,0.037735849,0.25,6.625,49800,73500,37.50337019,0.191,0.592,0.027,0.006,0.062,0.077,0.002,1977,X42
369,0.033056604,0.219,6.625,48939,70424,40.9,0.225,0.732,0.027,0.012,0.022,0.094,0.001,1966,X42
312,0.025,0.5,20,46200,69000,25.30725343,0.239,0.814,0.028,0.023,0.039,0.046,0.002,1952,X42
323,0.025882353,0.33,12.75,46800,69500,41.49981244,0.24,0.57,0.022,0.01,0.02,0.05,0,1939,X42
381,0.0195,0.312,16,49750,68000,41.49218565,0.162,1.06,0.007,0.015,0.013,0.016,0.001,2002,X42
297,0.0234375,0.375,16,44800,71000,50.60618178,0.338,0.74,0.035,0.009,0.015,0.017,0.001,1951,X42
400,0.022727273,0.5,22,51000,79000,45.88787182,0.261,0.838,0.026,0.017,0.016,0.016,0.001,1949,X42
578,0.041050541,0.186,4.531,69500,75500,29,0.068,0.945,0.006,0.016,0.068,0.129,0.012,2000,X42
310,0.022039216,0.281,12.75,46000,69900,31,0.264,0.45,0.022,0.021,0.026,0.077,0.001,1983,X42
474,0.023536232,0.203,8.625,55000,74500,19.80818399,0.195,0.87,0.019,0.01,0.014,0.021,0.001,1964,X42
370,0.026785714,0.375,14,49000,77000,26.29795717,0.285,0.911,0.024,0.011,0.025,0.098,0.002,1951,X42
488,0.023255814,0.25,10.75,55538,71486,41.2,0.215,0.74,0.016,0.012,0.089,0.094,0.001,1975,X42
544,0.028377358,0.188,6.625,60500,67500,43.34842405,0.185,0.64,0.025,0.008,0.04,0.13,0.002,1965,X42
283,0.037735849,0.25,6.625,43100,69500,33.87774959,0.221,0.805,0.019,0.007,0.006,0.01,0.001,1948,X42
564,0.040829839,0.185,4.531,63000,67500,27,0.05,0.965,0.006,0.007,0.004,0.006,0.021,2000,X42
466,0.046666667,0.28,6,54400,80200,26,0.226,0.758,0.005,0.007,0.083,0.164,0.001,1983,X42
360,0.015625,0.25,16,48600,65700,35.7,0.209,0.926,0.016,0.007,0.019,0.033,0.001,1970,X42
285,0.0234375,0.375,16,43500,70000,29.05583945,0.283,0.673,0.022,0.005,0.012,0.029,0.001,1962,X42
414,0.028985507,0.25,8.625,51500,72600,25.04207106,0.25,0.6,0.042,0.025,0.065,0.09,0,1956,X42
295,0.025882353,0.33,12.75,44200,74500,23.85617283,0.24,0.57,0.022,0.01,0.02,0.05,0,1939,X42
417,0.021797101,0.188,8.625,51500,71000,35.28199824,0.199,1.33,0.013,0.011,0.011,0.04,0.001,1979,X42
455,0.023255814,0.25,10.75,54000,67000,34.32063393,0.177,0.616,0.015,0.006,0.016,0.058,0.002,1954,X42
355,0.0195,0.312,16,48500,60500,39.70863541,0.24,0.72,0.04,0.01,0.047,0.087,0,1959,X42
581,0.052666667,0.237,4.5,72000,75500,42.16710775,0.064,0.859,0.006,0.008,0.021,0.054,0.024,1997,X42
453,0.057971014,0.5,8.625,54000,74000,26.22599469,0.198,1.07,0.007,0.005,0.013,0.024,0.001,2005,X42
550,0.037333333,0.322,8.625,61500,69000,21.25911252,0.046,0.974,0.005,0.013,0.039,0.075,0.012,2002,X42
420,0.012772727,0.281,22,51957,71061,41.2,0.226,0.718,0.028,0.035,0.029,0.045,0.001,1949,X42
469,0.028377358,0.188,6.625,54500,79500,37.53148217,0.245,1.08,0.025,0.015,0.012,0.01,0.002,1960,X42
425,0.044571429,0.156,3.5,52000,63000,27.5,0.268,0.488,0.015,0.008,0.036,0.062,0.001,1968,X42
286,0.0234375,0.375,16,43500,67500,25.34479276,0.239,0.7,0.024,0.008,0.014,0.016,0.001,1951,X42
401,0.0234375,0.375,16,51000,80500,26.19693738,0.251,1.04,0.024,0.01,0.011,0.015,0.001,1951,X42
435,0.02354717,0.156,6.625,52500,68000,46.51282338,0.201,0.547,0.007,0.008,0.009,0.074,0.001,1965,X42
486,0.019607843,0.25,12.75,55500,74500,38.54844383,0.237,0.621,0.028,0.008,0.074,0.237,0.001,1954,X42
424,0.028377358,0.188,6.625,52000,78500,18.38868268,0.249,1.06,0.025,0.016,0.012,0.011,0.002,1960,X42
347,0.022727273,0.5,22,48300,76500,26.60293456,0.276,0.831,0.016,0.016,0.014,0.014,0.001,1949,X42
572,0.02354717,0.156,6.625,66754,79601,37.1,0.258,0.861,0.021,0.009,0.009,0.006,0.001,1966,X42
532,0.028377358,0.188,6.625,59600,71900,27,0.203,1,0.018,0.005,0.021,0.028,0.001,1965,X42
356,0.014745098,0.188,12.75,48500,69000,37.99488823,0.226,0.961,0.018,0.006,0.095,0.088,0.002,1974,X42
458,0.020372093,0.219,10.75,54000,73500,33.13266989,0.237,0.595,0.02,0.005,0.014,0.069,0.001,1965,X42
487,0.017333333,0.312,18,55500,82000,25,0.279,0.83,0.031,0.01,0.062,0.225,0.001,1949,X42
395,0.023255814,0.25,10.75,50500,60500,43.00247714,0.24,0.566,0.03,0.007,0.045,0.17,0.001,1954,X42
412,0.026352941,0.28,10.625,51500,76000,54.50569235,0.245,1.01,0.027,0.009,0.048,0.057,0.002,1950,X42
567,0.047,0.188,4,64000,77500,24.56929107,0.217,0.563,0.016,0.004,0.057,0.128,0.002,1981,X42
527,0.028110048,0.188,6.688,59000,69000,37,0.22,0.499,0.028,0.004,0.088,0.246,0.001,1954,X42
421,0.036173913,0.312,8.625,52000,64500,50.94148158,0.186,0.7,0.012,0.005,0.029,0.031,0.001,1973,X42
277,0.022039216,0.281,12.75,37900,66000,21.56276015,0.26,0.77,0.019,0.013,0.041,0.045,0.0002,1950,X42
537,0.028985507,0.25,8.625,60000,76000,50.43137053,0.275,0.85,0.028,0.01,0.03,0.135,0.002,1957,X42
393,0.026785714,0.375,14,50500,79000,30.93189117,0.286,0.913,0.024,0.011,0.025,0.097,0.002,1951,X42
364,0.058823529,0.75,12.75,48800,65500,54.20618322,0.234,0.618,0.027,0.009,0.02,0.036,0.001,1954,X42
441,0.0156,0.312,20,53000,75500,36.80551166,0.165,1.06,0.009,0.015,0.013,0.019,0.001,1976,X42
443,0.023536232,0.203,8.625,53000,78500,44.00439223,0.29,0.507,0.021,0.011,0.006,0.013,0.002,1962,X42
472,0.037333333,0.322,8.625,55000,67500,54.34171596,0.25,0.724,0.024,0.01,0.039,0.141,0.002,1952,X42
289,0.024470588,0.312,12.75,43700,70400,27,0.289,0.609,0.024,0.01,0.007,0.008,0.007,1949,X42
430,0.019607843,0.25,12.75,52500,72000,31.86057485,0.231,0.84,0.022,0.009,0.024,0.101,0.001,1957,X42
363,0.028985507,0.25,8.625,48700,66000,43.6,0.209,0.809,0.024,0.008,0.011,0.071,0.001,1967,X42
408,0.015921569,0.203,12.75,51081,70091,23.9,0.266,0.781,0.018,0.007,0.018,0.047,0.001,1959,X42
391,0.047,0.188,4,50300,62200,38.8,0.202,0.557,0.013,0.003,0.041,0.118,0.001,1970,X42
329,0.022727273,0.5,22,47500,76200,38.58556196,0.252,0.825,0.026,0.01,0.009,0.009,0.001,1949,X42
483,0.043478261,0.375,8.625,55500,61500,24.21513316,0.177,0.805,0.017,0.006,0.009,0.01,0.001,1957,X42
533,0.0195,0.312,16,59900,74500,29.60551285,0.29,0.88,0.032,0.017,0.013,0.034,0,1953,X42
580,0.037735849,0.25,6.625,72000,82000,52.78945791,0.234,0.565,0.019,0.005,0.023,0.044,0.001,1981,X42
332,0.0175625,0.281,16,47682,73044,31.7,0.283,0.538,0.016,0.018,0.023,0.036,0.001,1953,X42
287,0.024470588,0.312,12.75,43500,67600,30,0.273,0.666,0.022,0.005,0.007,0.007,0.007,1949,X42
512,0.023536232,0.203,8.625,58000,74000,31.97153802,0.195,0.87,0.019,0.01,0.014,0.021,0.001,1964,X42
292,0.026785714,0.375,14,43800,78000,24.84756306,0.285,0.916,0.027,0.012,0.025,0.098,0.002,1951,X42
361,0.015921569,0.203,12.75,48633,69600,33.4,0.29,0.808,0.028,0.007,0.029,0.112,0.001,1959,X42
461,0.021797101,0.188,8.625,54000,72000,39.95681395,0.23,0.83,0.009,0.01,0.014,0.023,0.001,1963,X42
353,0.0156,0.312,20,48424,70209,30.3,0.24,1.082,0.022,0.009,0.009,0.02,0.001,1977,X42
500,0.015625,0.25,16,57000,70500,11.1465332,0.243,0.71,0.025,0.008,0.029,0.045,0.001,1959,X42
407,0.028985507,0.25,8.625,51000,66000,36.4,0.209,0.809,0.024,0.008,0.011,0.071,0.001,1967,X42
386,0.0234375,0.375,16,50000,74500,49.33545245,0.24,1.04,0.024,0.011,0.011,0.015,0.001,1951,X42
342,0.025882353,0.33,12.75,48100,74000,21.96209951,0.24,0.57,0.022,0.01,0.02,0.05,0,1939,X42
422,0.015625,0.25,16,52000,66000,59.49670235,0.213,0.67,0.032,0.011,0.051,0.08,0.001,1959,X42
459,0.025391304,0.219,8.625,54000,71500,35.01743856,0.226,0.58,0.015,0.006,0.045,0.118,0.001,1960,X42
428,0.043478261,0.375,8.625,52500,63000,31.46882925,0.177,0.805,0.017,0.006,0.009,0.01,0.001,1957,X42
416,0.023536232,0.203,8.625,51500,65000,50.12934355,0.225,0.739,0.03,0.014,0.031,0.142,0.001,1954,X42
473,0.019607843,0.25,12.75,55000,68000,25.4724063,0.215,0.604,0.016,0.011,0.019,0.042,0.001,1954,X42
290,0.0234375,0.375,16,43800,70500,26.47633282,0.338,0.74,0.035,0.009,0.015,0.017,0.001,1951,X42
462,0.021797101,0.188,8.625,54000,65000,20.30099388,0.225,0.8,0.018,0.006,0.013,0.017,0.001,1969,X42
410,0.015921569,0.203,12.75,51344,74873,43.2,0.261,0.892,0.024,0.006,0.029,0.089,0.001,1959,X42
522,0.026093007,0.225,8.623,58600,71200,26,0.09,0.741,0.014,0.007,0.008,0.02,0.018,1982,X42
536,0.019607843,0.25,12.75,60000,76000,36.41716034,0.205,0.686,0.02,0.007,0.023,0.094,0.001,1951,X42
333,0.026785714,0.375,14,47700,76500,51.62643481,0.285,0.904,0.024,0.011,0.025,0.097,0.002,1951,X42
447,0.015921569,0.203,12.75,53311,75879,32.3,0.279,0.87,0.019,0.006,0.02,0.038,0.002,1959,X42
504,0.047,0.188,4,57300,70600,33.4,0.212,0.604,0.029,0.005,0.074,0.222,0.001,1970,X42
460,0.023536232,0.203,8.625,54000,68500,32.30880774,0.233,0.769,0.024,0.008,0.011,0.026,0.001,1964,X42
516,0.024470588,0.312,12.75,58100,81500,29.24833249,0.285,0.96,0.025,0.009,0.015,0.038,0.003,1950,X42
307,0.048666667,0.219,4.5,45800,73500,37.30153507,0.249,0.855,0.011,0.005,0,0.015,0.001,1981,X42
526,0.028327338,0.189,6.672,59000,71000,40,0.167,0.668,0.026,0.01,0.079,0.385,0.001,1954,X42
478,0.028327338,0.189,6.672,55000,67500,23,0.179,0.686,0.029,0.005,0.071,0.212,0.001,1954,X42
485,0.019607843,0.25,12.75,55500,75500,17.52744315,0.249,1.05,0.026,0.009,0.025,0.106,0.002,1957,X42
426,0.042264151,0.28,6.625,52136,67127,31,0.253,0.726,0.002,0.007,0.018,0.069,0.001,1997,X42
405,0.023536232,0.203,8.625,51000,69000,31.11411291,0.246,0.728,0.029,0.008,0.04,0.137,0.001,1954,X42
346,0.015921569,0.203,12.75,48263,70828,35.1,0.26,0.773,0.027,0.006,0.029,0.096,0.001,1959,X42
409,0.047,0.188,4,51300,64700,21,0.206,0.598,0.022,0.004,0.071,0.185,0.001,1970,X42
281,0.025882353,0.33,12.75,42800,63500,28.07756487,0.24,0.57,0.022,0.01,0.02,0.05,0,1939,X42
517,0.019607843,0.25,12.75,58275,82850,23.95152263,0.218,1.01,0.006,0.008,0.01,0.013,0.001,1985,X42
479,0.02354717,0.156,6.625,55083,69225,32.6,0.237,0.784,0.025,0.008,0.023,0.059,0.001,1966,X42
337,0.011466667,0.344,30,47700,72600,32.9,0.237,0.903,0.02,0.011,0.023,0.037,0.001,1956,X42
444,0.021797101,0.188,8.625,53000,70000,48.94674298,0.233,0.858,0.023,0.01,0.012,0.012,0.001,1969,X42
387,0.0234375,0.375,16,50000,79000,20.27410114,0.251,1.04,0.024,0.01,0.011,0.015,0.001,1951,X42
317,0.019607843,0.25,12.75,46600,71500,23.52823619,0.207,0.627,0.015,0.006,0.005,0.008,0.003,1971,X42
557,0.025391304,0.219,8.625,62500,74000,43.79586639,0.228,0.72,0.026,0.014,0.047,0.029,0.001,1979,X42
340,0.011466667,0.344,30,47900,72100,30,0.237,0.903,0.02,0.011,0.023,0.037,0.001,1956,X42
477,0.017333333,0.312,18,55000,73000,25,0.254,0.63,0.022,0.009,0.067,0.154,0.001,1950,X42
493,0.037333333,0.322,8.625,56500,65500,16.58695051,0.218,0.719,0.033,0.013,0.031,0.128,0.002,1952,X42
318,0.0234375,0.375,16,46700,76500,19.64864593,0.259,1.05,0.02,0.01,0.011,0.014,0.001,1951,X42
376,0.0234375,0.375,16,49300,79000,46.88292126,0.277,1.09,0.035,0.013,0.011,0.017,0.002,1951,X42
349,0.025882353,0.33,12.75,48300,67000,34,0.137,0.69,0.019,0.01,0.01,0.023,0.001,1983,X42
368,0.021797101,0.188,8.625,48900,64300,29,0.235,0.801,0.027,0.005,0.029,0.194,0.001,1960,X42
547,0.036173913,0.312,8.625,61000,74500,33.25321957,0.204,0.792,0.024,0.008,0.008,0.006,0.001,1971,X42
382,0.018883721,0.203,10.75,49752,60437,35.6,0.15,0.66,0.016,0.007,0.038,0.108,0.001,1951,X42
508,0.02354717,0.156,6.625,57500,74500,21.81472658,0.233,0.573,0.021,0.008,0.053,0.14,0.001,1964,X42
350,0.026785714,0.375,14,48400,77000,26.2951053,0.285,0.904,0.024,0.011,0.025,0.097,0.002,1951,X42
306,0.0307,0.307,10,45800,70500,36.18017488,0.24,0.73,0.026,0.013,0.023,0.12,0,1953,X42
399,0.028985507,0.25,8.625,50837,81469,31.6,0.3,0.954,0.022,0.009,0.011,0.01,0.001,1957,X42
507,0.028377358,0.188,6.625,57500,70000,23.90472366,0.198,0.418,0.028,0.006,0.098,0.259,0.002,1988,X42
365,0.0234375,0.375,16,48800,78000,7.84120062,0.259,1.05,0.02,0.01,0.011,0.014,0.001,1951,X42
419,0.028985507,0.25,8.625,51500,64500,34.7,0.209,0.809,0.024,0.008,0.011,0.071,0.001,1967,X42
320,0.0234375,0.375,16,46800,78500,34.35692249,0.285,0.82,0.02,0.009,0.016,0.019,0.001,1951,X42
372,0.026785714,0.375,14,49000,80000,15.62328058,0.284,0.904,0.022,0.011,0.024,0.097,0.003,1951,X42
348,0.0234375,0.375,16,48300,78500,39.76948834,0.267,0.82,0.018,0.008,0.015,0.018,0.001,1951,X42
560,0.021449275,0.185,8.625,62500,77500,34.41012878,0.269,0.649,0.016,0.005,0.011,0.071,0.001,1965,X42
357,0.028377358,0.188,6.625,48566,60233,22.91696401,0.24,1.31,0.019,0.01,0.044,0.04,0.001,1965,X42
480,0.011466667,0.344,30,55100,79000,36,0.248,0.972,0.021,0.01,0.015,0.02,0.001,1956,X42
324,0.0156,0.312,20,46800,77000,37.02791573,0.317,0.659,0.03,0.008,0.021,0.022,0.002,1953,X42
438,0.037735849,0.25,6.625,52700,67700,32.9,0.216,0.548,0.018,0.004,0.068,0.171,0.001,1954,X42
335,0.028985507,0.25,8.625,47700,67500,42.18660958,0.164,0.79,0.007,0.016,0.02,0.007,0.001,1980,X42
379,0.034666667,0.156,4.5,49500,69000,36.25,0.288,0.63,0.015,0.005,0.01,0.006,0.002,1964,X42
535,0.042264151,0.28,6.625,60000,67000,41.69965776,0.066,0.622,0.006,0.02,0.012,0.015,0.013,1993,X42
465,0.037735849,0.25,6.625,54200,65200,43.5,0.203,0.523,0.024,0.008,0.076,0.202,0.001,1954,X42
352,0.028985507,0.25,8.625,48400,64500,53.5371884,0.24,0.54,0.033,0.009,0.065,0.076,0,1956,X42
463,0.021449275,0.185,8.625,54000,70000,27.35046438,0.276,0.645,0.018,0.003,0.019,0.081,0.001,1965,X42
366,0.025882353,0.33,12.75,48900,73500,25.75828681,0.24,0.57,0.022,0.01,0.02,0.05,0,1939,X42
284,0.037735849,0.25,6.625,43300,70500,44.23225212,0.221,0.805,0.019,0.007,0.006,0.01,0.001,1948,X42
576,0.0234375,0.375,16,68000,72000,45.96547195,0.06,0.969,0.007,0.005,0.004,0.005,0.02,1999,X42
345,0.026785714,0.375,14,48200,77500,26.97711658,0.284,0.916,0.025,0.011,0.025,0.099,0.002,1951,X42
495,0.02855814,0.307,10.75,56500,71500,44.45521582,0.244,0.844,0.03,0.011,0.046,0.148,0.001,1951,X42
538,0.033056604,0.219,6.625,60000,76764,12.51399369,0.076,0.945,0.006,0.014,0.327,0.433,0.002,1993,X42
556,0.037333333,0.322,8.625,62500,69500,42.09220383,0.047,0.983,0.005,0.013,0.039,0.076,0.013,2002,X42
432,0.0136875,0.219,16,52500,71500,57.37474062,0.209,0.816,0.015,0.008,0.008,0.008,0.001,1971,X42
456,0.052666667,0.237,4.5,54000,63500,33.7581035,0.221,0.634,0.032,0.007,0.013,0.009,0.001,1968,X42
