name,Yield_Strength,Tensile_Strength,Pipe Vintage,%C,%Mn,%S,%Si,%P,%Al,%Cr,%Mo,%V,%Ni,%Cu,%Sn,%Ti,%Nb,%Co,Grade_Early_bin
189,38200,60000,1957,0.03,0.332,0.015,0.006,0.045,0.004,0.005,0.001,0,0.005,0.006,0,0.001,0.001,0.001,1
190,38300,55000,1943,0.036,0.374,0.021,0.006,0.059,0.002,0.005,0.005,0.002,0.005,0.011,0.001,0.002,0.002,0.005,1
191,38400,63500,1946,0.216,0.435,0.018,0.01,0.004,0.029,0.015,0.003,0,0.007,0.013,0.001,0.001,0.001,0.002,0
192,38600,64500,1955,0.295,0.442,0.026,0.043,0.006,0.002,0.019,0.005,0,0.012,0.026,0.001,0.005,0.001,0.004,0
193,38600,64500,1955,0.295,0.442,0.026,0.043,0.006,0.002,0.019,0.005,0,0.012,0.026,0.001,0.005,0.001,0.004,0
194,40000,64000,1964,0.164,0.559,0.034,0.031,0.086,0.096,0.006,0.002,0.002,0.005,0.008,0,0.001,0.001,0.002,0
195,40400,55000,1905,0.089,0.4,0.026,0.006,0.014,0.014,0.012,0.003,0,0.008,0.008,0.002,0.002,0.001,0.004,0
196,42400,64500,1939,0.203,0.588,0.013,0.105,0.015,0.029,0.011,0.002,0,0.006,0.006,0,0.001,0.001,0.002,0
197,48900,72000,2002,0.186,0.562,0.008,0.318,0.006,0.021,0.035,0.003,0.001,0.032,0.126,0.008,0.001,0.001,0.001,0
198,50600,65000,1957,0.182,0.636,0.013,0.006,0.006,0.001,0.016,0.003,0,0.013,0.01,0.001,0.001,0.001,0.002,0
199,51000,63000,1957,0.215,0.639,0.013,0.006,0.007,0.001,0.016,0.003,0,0.014,0.011,0.001,0.001,0.001,0.003,0
200,52500,66200,1957,0.213,0.636,0.014,0.007,0.006,0.001,0.016,0.003,0,0.014,0.01,0.001,0.001,0.001,0.003,0
201,53500,71000,1970,0.246,0.745,0.018,0.013,0.004,0.029,0.049,0.027,0,0.018,0.02,0.001,0.001,0.001,0.002,0
202,55000,67500,1952,0.25,0.724,0.024,0.008,0.01,0.007,0.026,0.007,0.001,0.039,0.141,0.009,0.002,0.002,0.031,0
203,56000,66000,1952,0.216,0.689,0.02,0.006,0.007,0.007,0.026,0.006,0.001,0.039,0.16,0.008,0.002,0.002,0.033,0
204,56500,65500,1952,0.218,0.719,0.033,0.009,0.013,0.009,0.019,0.005,0.001,0.031,0.128,0.006,0.002,0.002,0.033,0
205,58000,67500,1952,0.227,0.696,0.033,0.008,0.009,0.013,0.015,0.005,0.001,0.033,0.185,0.016,0.002,0.002,0.031,0
206,61500,69000,2002,0.046,0.974,0.005,0.178,0.013,0.019,0.031,0.009,0.001,0.039,0.075,0.006,0.007,0.012,0.003,0
207,62500,69500,2002,0.047,0.983,0.005,0.179,0.013,0.018,0.032,0.009,0.002,0.039,0.076,0.007,0.007,0.013,0.003,0
208,64500,82000,2009,0.136,0.632,0.004,0.227,0.016,0.032,0.024,0.004,0.001,0.012,0.008,0.001,0.017,0.028,0.001,0
209,32796,50860,1953,0.199,0.573,0.027,0.012,0.006,0.003,0.06,0.004,0,0.033,0.141,0.007,0.001,0.002,0.003,1
210,64500,82000,1951,0.23,1.03,0.032,0.06,0.025,0,0.13,0.04,0,0.072,0.2,0,0,0,0,0
211,61100,84300,1967,0.28,1.19,0.019,0.032,0.014,0,0.032,0.014,0,0.06,0.051,0.001,0,0,0.004,0
212,56500,78000,1961,0.202,1,0.02,0.023,0.007,0.002,0.047,0.016,0.002,0.024,0.021,0.004,0.002,0.002,0.006,0
213,46200,62800,1953,0.087,0.48,0.027,0.07,0.009,0.005,0.029,0.041,0,0.083,0.127,0.011,0,0,0.01,0
214,56800,82100,1969,0.243,1.29,0.011,0.036,0.01,0.001,0.035,0.014,0,0.063,0.112,0.007,0.001,0.001,0.01,0
215,57700,83200,1969,0.195,1.25,0.009,0.021,0.018,0.044,0.039,0.007,0.061,0.014,0.008,0,0.001,0.001,0,0
216,61500,80700,1969,0.202,1.15,0.019,0.04,0.015,0.001,0.035,0.009,0,0.032,0.038,0.002,0.001,0.001,0.007,0
217,66300,93500,1969,0.207,1.34,0.017,0.009,0.009,0.032,0.027,0.014,0.064,0.076,0.017,0.001,0.001,0.001,0.001,0
218,62000,82550,1951,0.25,0.91,0.026,0.01,0.011,0.006,0.05,0.03,0,0.05,0.06,0,0.001,0.003,0,0
219,66500,85500,1951,0.243,1.11,0.035,0.072,0.027,0.001,0.038,0.008,0,0.093,0.138,0.012,0.001,0.001,0.029,0
220,67000,85500,1951,0.261,0.99,0.02,0.043,0.018,0.002,0.037,0.027,0,0.074,0.156,0.013,0.001,0.001,0.029,0
221,73000,90500,1969,0.22,1.09,0.021,0.015,0.01,0.007,0.009,0.012,0.003,0.031,0.045,0.003,0.002,0.025,0.0012,0
222,57000,80500,1948,0.239,1.005,0.023,0.1355,0.0175,0.001,0.027,0.008,0,0.0475,0.121,0.0245,0.001,0.001,0.011,0
223,59000,84500,1948,0.309,1.15,0.0225,0.145,0.0182,0.001,0.032,0.011,0,0.076,0.182,0.027,0.001,0.001,0.01,0
224,61000,82500,1948,0.246,1.175,0.0185,0.1175,0.0335,0.001,0.036,0.008,0,0.043,0.1535,0.016,0.001,0.001,0.0095,0
225,62500,84000,1948,0.246,1.01,0.0235,0.119,0.018,0.001,0.052,0.0355,0,0.2095,0.224,0.0245,0.001,0.001,0.011,0
226,63000,87500,1948,0.244,1.205,0.0245,0.1485,0.0145,0.0015,0.026,0.011,0,0.0635,0.179,0.0255,0.001,0.001,0.01,0
227,63500,87000,1948,0.285,1.12,0.0215,0.161,0.016,0.0015,0.026,0.016,0,0.108,0.205,0.039,0.001,0.001,0.01,0
228,41500,71000,1949,0.232,0.486,0.04,0.149,0.017,0.02,0.007,0.005,0.001,0.006,0.009,0.001,0.002,0.002,0.004,0
229,48300,74000,1949,0.232,0.486,0.04,0.149,0.017,0.02,0.007,0.005,0.001,0.006,0.009,0.001,0.002,0.002,0.004,0
230,51500,72000,1949,0.233,0.74,0.019,0.008,0.044,0.002,0.022,0.004,0,0.02,0.043,0.002,0.002,0.001,0,0
231,52000,75000,1949,0.246,0.773,0.013,0.005,0.035,0.001,0.019,0.006,0.002,0.032,0.035,0.003,0.002,0.002,0.006,0
232,55500,80000,1949,0.262,0.857,0.032,0.007,0.052,0.025,0.017,0.007,0.002,0.027,0.051,0.005,0.002,0.003,0.006,0
233,37800,61000,1929,0.039,0.37,0.019,0.006,0.058,0.002,0.005,0,0.002,0.004,0.005,0.001,0.002,0.002,0.005,1
234,38300,60000,1929,0.044,0.35,0.012,0.011,0.061,0.001,0.005,0,0.003,0.004,0.005,0.001,0.002,0.002,0.005,1
235,46500,62000,1947,0.241,0.59,0.021,0.008,0.005,0.008,0.045,0.005,0,0.041,0.068,0.006,0.001,0.002,0.004,0
236,46600,68500,1971,0.165,1.06,0.009,0.196,0.015,0.029,0.054,0.007,0.003,0.013,0.019,0.01,0.001,0.001,0.002,0
237,46800,77000,1953,0.317,0.659,0.03,0.035,0.008,0.017,0.021,0.011,0.001,0.021,0.022,0.002,0.007,0.002,0.007,0
238,48900,70500,1950,0.259,0.841,0.028,0.004,0.015,0.01,0.032,0.007,0.002,0.047,0.049,0.005,0.002,0.003,0.005,0
239,49000,68500,1950,0.248,0.928,0.025,0.006,0.013,0.002,0.03,0.003,0,0.034,0.034,0.002,0.001,0.001,0.003,0
240,51000,73500,1950,0.246,0.86,0.029,0.009,0.015,0.004,0.038,0.008,0.002,0.023,0.059,0.008,0.002,0.003,0.005,0
241,53000,73500,1987,0.224,0.09,0.015,0.017,0.009,0.006,0.033,0.019,0,0.022,0.017,0.001,0.001,0.001,0.003,0
242,53000,75500,1976,0.165,1.06,0.009,0.196,0.015,0.029,0.054,0.007,0.001,0.013,0.019,0.01,0.001,0.001,0.002,0
243,56500,83000,2003,0.226,1.11,0.019,0.044,0.007,0.009,0.057,0.006,0.049,0.008,0.01,0.001,0.008,0.001,0.006,0
244,60500,78000,1971,0.225,0.94,0.01,0.014,0.01,0.006,0.021,0.004,0,0.01,0.009,0.001,0.001,0.018,0.004,0
245,71300,89400,1994,0.069,0.99,0.004,0.19,0.009,0.071,0.02,0.011,0,0.013,0.016,0.006,0.019,0.051,0.002,0
246,85500,99500,2013,0.055,1.47,0.003,0.167,0.008,0.041,0.034,0.009,0,0.008,0.014,0.005,0.015,0.085,0,0
247,86000,96000,2013,0.055,1.47,0.003,0.167,0.008,0.041,0.034,0.009,0,0.008,0.014,0.005,0.015,0.085,0,0
248,55900,68650,1970,0.21,1.02,0.019,0.057,0.011,0,0.012,0.01,0,0.02,0.076,0.002,0,0.021,0,0
249,56500,67500,1970,0.2,1.1,0.024,0.076,0.015,0.002,0.025,0.01,0,0.011,0.072,0.001,0,0.021,0,0
250,63500,78000,1969,0.199,1.1,0.018,0.06,0.01,0.002,0.031,0.004,0.004,0.015,0.076,0.005,0.002,0.006,0.025,0
251,55500,71500,1974,0.233,0.78,0.027,0.006,0.014,0.014,0.044,0.009,0,0.024,0.063,0.005,0.001,0.002,0.005,0
252,48500,60500,1959,0.24,0.72,0.04,0.005,0.01,0.028,0.024,0.013,0,0.047,0.087,0,0,0,0,0
253,49000,73500,1976,0.227,1.03,0.019,0.012,0.007,0.006,0.013,0.006,0,0.012,0.009,0,0.001,0.001,0.001,0
254,49700,77000,1979,0.302,1.07,0.012,0.01,0.003,0.003,0.033,0.018,0,0.043,0.058,0.002,0.001,0.001,0.003,0
255,49750,68000,2002,0.162,1.06,0.007,0.189,0.015,0.033,0.041,0.007,0.002,0.013,0.016,0.009,0.002,0.001,0.001,0
256,56000,76000,1965,0.237,0.802,0.022,0.015,0.028,0.008,0.031,0.008,0,0.052,0.171,0.01,0.002,0.001,0.009,0
257,59900,74500,1953,0.29,0.88,0.032,0.002,0.017,0.007,0.022,0.012,0,0.013,0.034,0,0,0,0,0
258,60500,69500,1959,0.24,0.72,0.04,0.005,0.01,0.028,0.024,0.013,0,0.047,0.087,0,0,0,0,0
259,49100,76000,1950,0.31,0.92,0.041,0.012,0.012,0.006,0.04,0.008,0.002,0.029,0.05,0.006,0.006,0.002,0.006,0
260,50500,66500,1949,0.23,0.49,0.03,0.012,0.027,0.004,0.024,0.005,0,0.06,0.104,0.01,0.001,0.001,0.005,0
261,51000,75000,1950,0.29,0.891,0.027,0.017,0.008,0.026,0.023,0.011,0.002,0.019,0.04,0.007,0.005,0.003,0.006,0
262,54500,69000,1949,0.23,0.49,0.03,0.012,0.027,0.004,0.024,0.005,0,0.06,0.104,0.01,0.001,0.001,0.005,0
263,55500,77500,1950,0.332,1.01,0.036,0.026,0.011,0.007,0.017,0.008,0.003,0.015,0.039,0.011,0.003,0.003,0.006,0
264,57000,87000,1960,0.28,1.08,0.019,0.036,0.014,0.013,0.016,0.005,0.002,0.01,0.014,0.001,0.001,0.001,0.005,0
265,58100,81500,1950,0.285,0.96,0.025,0.025,0.009,0.008,0.017,0.007,0.002,0.015,0.038,0.009,0.003,0.003,0.006,0
266,64000,74000,1949,0.23,0.49,0.03,0.012,0.027,0.004,0.024,0.005,0,0.06,0.104,0.01,0.001,0.001,0.005,0
267,69500,81000,2014,0.061,1.04,0.002,0.154,0.013,0.042,0.02,0.006,0,0.008,0.01,0.001,0.002,0.029,0,0
268,71000,94500,1967,0.194,0.73,0.012,0.004,0.005,0.001,0.025,0.131,0.051,1.07,0.618,0.004,0.002,0.003,0.009,0
269,73500,87500,1999,0.064,1.32,0.004,0.272,0.02,0.039,0.015,0.005,0,0.005,0.006,0.001,0.001,0.036,0.002,0
270,77000,83500,2000,0.071,1.21,0.006,0.258,0.017,0.045,0.012,0.004,0.004,0.004,0.006,0.002,0.003,0.039,0.003,0
271,36800,65500,1946,0.212,0.434,0.014,0.01,0.004,0.028,0.015,0.003,0,0.007,0.013,0.001,0.001,0.001,0.002,0
272,45700,67500,1946,0.252,0.428,0.021,0.025,0.006,0.01,0.02,0.003,0,0.008,0.016,0.001,0.001,0.001,0.003,0
273,52000,64500,1973,0.186,0.7,0.012,0.005,0.005,0.002,0.021,0.01,0,0.029,0.031,0.001,0.001,0.001,0.001,0
274,60000,75500,1971,0.247,0.796,0.022,0.014,0.011,0.005,0.012,0,0,0.008,0.005,0,0.001,0.001,0.003,0
275,61000,74500,1971,0.204,0.792,0.024,0.013,0.008,0.005,0.012,0,0,0.008,0.006,0,0.001,0.001,0.003,0
276,70000,86000,1973,0.193,1.19,0.023,0.019,0.022,0.046,0.02,0.008,0,0.012,0.014,0.001,0.003,0.041,0.001,0
277,46400,53500,1955,0.045,0.415,0.015,0.003,0.005,0.001,0.013,0.006,0.001,0.021,0.071,0.013,0.002,0.002,0.006,1
278,47700,54500,1955,0.056,0.44,0.014,0.002,0.004,0.003,0.017,0.008,0,0.046,0.064,0.006,0.002,0.002,0.007,1
279,57000,66500,1967,0.132,1.14,0.012,0.024,0.009,0.002,0.031,0.007,0.003,0.022,0.024,0.002,0.002,0.018,0.007,0
280,45600,73000,1929,0.192,0.896,0.019,0.14,0.027,0.002,0.012,0.002,0,0.01,0.03,0.002,0.001,0.001,0.004,0
281,48200,78500,1929,0.218,0.927,0.017,0.143,0.029,0.001,0.012,0.002,0,0.008,0.009,0.001,0.001,0.001,0.004,0
282,48700,76000,1930,0.227,0.795,0.024,0.032,0.012,0.01,0.021,0.006,0.001,0.027,0.025,0.007,0.002,0.001,0.004,0
283,54500,79500,1953,0.15,0.68,0.016,0.004,0.016,0.001,0.042,0.008,0.001,0.017,0.021,0.002,0.002,0.001,0.006,0
284,55500,71000,1959,0.15,0.588,0.023,0.005,0.006,0,0.019,0.004,0,0.009,0.022,0.002,0.002,0.001,0.005,0
285,57500,69000,1959,0.15,0.588,0.023,0.005,0.006,0,0.019,0.004,0,0.009,0.022,0.002,0.002,0.001,0.005,0
286,71500,56500,1951,0.244,0.844,0.03,0.009,0.011,0.011,0.037,0.007,0,0.046,0.148,0.011,0.001,0.001,0.004,0
287,73000,56500,1951,0.257,0.835,0.03,0.009,0.023,0.011,0.038,0.005,0,0.03,0.063,0.005,0.001,0.001,0.004,0
288,75000,63000,1951,0.257,0.835,0.03,0.009,0.023,0.011,0.038,0.005,0,0.03,0.063,0.005,0.001,0.001,0.004,0
289,76000,63000,1951,0.244,0.844,0.03,0.009,0.011,0.011,0.037,0.007,0,0.046,0.148,0.011,0.001,0.001,0.004,0
290,81500,99500,1967,0.228,0.981,0.017,0.017,0.012,0.005,0.017,0.006,0.035,0.012,0.008,0.001,0.001,0.001,0.003,0
291,84000,102000,1967,0.223,0.97,0.017,0.016,0.012,0.005,0.017,0.005,0.034,0.012,0.008,0,0.001,0.001,0.003,0
292,45800,70500,1953,0.24,0.73,0.026,0.006,0.013,0.006,0.028,0.002,0.001,0.023,0.12,0.003,0.001,0,0.04,0
293,63000,78000,1972,0.213,1.25,0.023,0.162,0.011,0.044,0.014,0.008,0,0.011,0.008,0.001,0.002,0.031,0.001,0
294,63000,78000,1972,0.213,1.25,0.023,0.162,0.011,0.044,0.014,0.008,0,0.011,0.008,0.001,0.002,0.031,0.001,0
295,63500,80000,1972,0.223,1.32,0.016,0.026,0.011,0.004,0.013,0.008,0.053,0.017,0.015,0.001,0.001,0.028,0.001,0
296,63500,80000,1972,0.223,1.32,0.016,0.026,0.011,0.004,0.013,0.008,0.053,0.017,0.015,0.001,0.001,0.028,0.001,0
297,65500,81500,1972,0.205,1.28,0.014,0.031,0.013,0.002,0.036,0.011,0.043,0.02,0.015,0.001,0.001,0.033,0.001,0
298,65500,81500,1972,0.205,1.28,0.014,0.031,0.013,0.002,0.036,0.011,0.043,0.02,0.015,0.001,0.001,0.033,0.001,0
299,51500,84000,1949,0.276,1.15,0.019,0.134,0.015,0.009,0.008,0.001,0.001,0.009,0.01,0.001,0.001,0.001,0.003,0
300,47000,58000,1938,0.108,0.384,0.016,0.008,0.009,0.005,0.025,0.004,0,0.011,0.058,0.004,0.002,0.001,0.004,0
301,54000,59500,1938,0.108,0.384,0.016,0.008,0.009,0.005,0.025,0.004,0,0.011,0.058,0.004,0.002,0.001,0.004,0
302,39100,64000,1947,0.185,0.462,0.014,0.033,0.004,0.028,0.015,0.002,0,0.006,0.009,0,0.001,0.001,0.003,0
303,41800,64000,1947,0.186,0.437,0.017,0.019,0.004,0.026,0.025,0.003,0,0.008,0.012,0.001,0.002,0.001,0.004,0
304,68000,80000,1999,0.045,1.3,0.006,0.24,0.01,0.025,0.02,0.018,0.043,0.023,0.056,0.006,0.011,0.056,0.005,0
305,54000,78500,1952,0.22,0.7,0.023,0.21,0.008,0.002,0.042,0.009,0.001,0.07,0.2,0.038,0.002,0.008,0,0
306,54000,83200,1967,0.23,0.121,0.014,0.018,0.01,0.005,0.025,0.012,0,0.012,0.015,0.001,0,0,0,0
307,56500,80000,1967,0.25,1.31,0.012,0.016,0.005,0,0.042,0.01,0,0.018,0.021,0.0003,0,0,0,0
308,61000,86300,1967,0.24,1.09,0.017,0.033,0.009,0,0.029,0.013,0,0.043,0.021,0.001,0,0,0.003,0
309,61500,79500,1967,0.247,1.05,0.018,0.024,0.11,0.01,0.044,0.014,0.002,0.015,0.023,0.002,0.002,0.002,0.006,0
310,52200,84500,1953,0.27,1.12,0.032,0.017,0.014,0.005,0.025,0.015,0,0.034,0.054,0.011,0,0,0.004,0
311,59000,79500,1953,0.23,1,0.037,0.023,0.02,0.005,0.027,0.013,0,0.11,0.043,0,0,0,0,0
312,60500,77500,1976,0.222,1.03,0.01,0.041,0.008,0.003,0.011,0.006,0.03,0.009,0.052,0.002,0.002,0.003,0.018,0
313,55000,74500,1971,0.199,1.072,0.018,0.033,0.006,0,0.025,0,0.002,0.021,0.036,0,0.002,0.006,0,0
314,58000,76500,1970,0.2,1.19,0.024,0.042,0.014,0.002,0.031,0.009,0.003,0.012,0.063,0.003,0.002,0.003,0.02,0
315,61000,81000,1970,0.21,1.29,0.019,0.063,0.018,0.001,0.022,0.011,0.004,0.019,0.068,0.002,0.002,0.003,0.021,0
316,63000,78000,1970,0.203,1.085,0.016,0.032,0.011,0.002,0.044,0.007,0.002,0.021,0.027,0.006,0.002,0.005,0.006,0
317,53500,76000,1957,0.23,0.93,0.024,0.032,0.019,0,0.057,0.012,0,0.053,0.096,0.005,0,0,0,0
318,54500,76000,1954,0.255,1.049,0.022,0.029,0.017,0.004,0.036,0.009,0.003,0.024,0.04,0.004,0.002,0.003,0.006,0
319,62000,89000,1949,0.29,1.04,0.023,0.033,0.01,0.001,0.023,0.016,0,0.034,0.048,0.003,0,0,0,0
320,66500,92500,1968,0.251,1.36,0.017,0.022,0.009,0.002,0.046,0.007,0.001,0.025,0.028,0.001,0.001,0.016,0.005,0
321,72000,101000,1968,0.244,1.34,0.016,0.021,0.008,0.001,0.042,0.007,0.001,0.023,0.03,0.001,0.001,0.015,0.005,0
322,73000,81000,1956,0.29,1,0.023,0.088,0.01,0,0.16,0.01,0,0.036,0.07,0.003,0,0,0.005,0
323,52600,72250,1958,0.24,1.09,0.018,0.04,0.01,0.019,0.02,0.011,0,0.005,0.014,0.002,0,0.004,0,0
324,56500,79000,1952,0.261,0.948,0.027,0.064,0.017,0.004,0.019,0.008,0.003,0.072,0.149,0.014,0.002,0.003,0.025,0
325,58000,78500,1952,0.269,1.07,0.033,0.066,0.016,0.002,0.017,0.007,0.003,0.03,0.19,0.02,0.002,0.004,0.037,0
326,59000,81500,1960,0.257,1.1,0.018,0.072,0.015,0.003,0.036,0.009,0,0.096,0.114,0.01,0.001,0.001,0.021,0
327,59500,79500,1952,0.243,1.01,0.035,0.069,0.019,0.002,0.02,0.008,0.003,0.065,0.11,0.013,0.002,0.003,0.027,0
328,60000,82500,1960,0.263,1.11,0.019,0.06,0.012,0.002,0.055,0.008,0,0.012,0.014,0.001,0.001,0.001,0.002,0
329,60300,78100,1952,0.278,0.982,0.029,0.112,0.018,0.001,0.012,0.005,0.003,0.07,0.078,0.004,0.002,0.002,0.027,0
330,62500,83000,1952,0.269,1.07,0.033,0.066,0.016,0.002,0.017,0.007,0.003,0.03,0.19,0.02,0.002,0.004,0.037,0
331,64500,88000,1952,0.264,0.976,0.025,0.075,0.012,0.004,0.02,0.006,0.003,0.069,0.125,0.009,0.002,0.003,0.028,0
332,67000,90000,1964,0.198,1.3,0.018,0.044,0.01,0.001,0.018,0.002,0.003,0.017,0.07,0.008,0.001,0.012,0.023,0
333,68000,85500,1960,0.25,1.1,0.019,0.069,0.013,0.001,0.044,0.023,0,0.095,0.112,0.006,0.001,0.001,0.021,0
334,72000,91000,1992,0.07,1.41,0.003,0.225,0.011,0.026,0.024,0.005,0,0.017,0.007,0,0.002,0.041,0.004,0
335,58500,82500,1952,0.262,0.968,0.032,0.045,0.013,0.003,0.02,0.006,0.003,0.029,0.14,0.013,0.002,0.003,0.032,0
336,42100,64500,1958,0.271,0.441,0.025,0.028,0.005,0.001,0.026,0.008,0,0.007,0.012,0.001,0.007,0.001,0,0
337,53500,75500,1950,0.29,0.71,0.03,0.032,0.017,0.001,0.02,0.014,0,0.076,0.067,0,0,0,0,0
338,55000,87500,1954,0.248,1.21,0.017,0.168,0.014,0.024,0.047,0.012,0.002,0.065,0.058,0.004,0.001,0.002,0.005,0
339,47000,70000,1953,0.255,0.59,0.019,0.039,0.008,0.005,0.025,0.005,0.001,0.007,0.014,0.002,0.007,0.001,0.006,0
340,48400,71000,1953,0.255,0.59,0.019,0.039,0.008,0.005,0.025,0.005,0.001,0.007,0.014,0.002,0.007,0.001,0.006,0
341,50600,79800,1954,0.252,1.24,0.023,0.103,0.012,0.012,0.045,0.026,0.003,0.064,0.07,0.006,0.002,0.002,0.007,0
342,57000,69000,1955,0.223,0.835,0.021,0.005,0.01,0.003,0.026,0.004,0,0.018,0.033,0.003,0.001,0.002,0.004,0
343,58200,71000,1955,0.23,0.9,0.027,0.004,0.016,0.018,0.024,0.008,0.001,0.069,0.075,0.004,0.002,0.002,0.007,0
344,63500,82500,1955,0.234,0.816,0.029,0.007,0.016,0.006,0.03,0.001,0,0.019,0.037,0.002,0.001,0.002,0.004,0
345,64500,87500,1975,0.247,1.13,0.014,0.016,0.016,0.006,0.048,0.02,0.049,0.017,0.011,0.001,0.001,0.02,0.003,0
346,69000,88000,1975,0.238,1.15,0.015,0.028,0.015,0.004,0.043,0.017,0.055,0.025,0.015,0.001,0.001,0.024,0.005,0
347,72000,96500,1975,0.247,1.37,0.019,0.025,0.015,0.004,0.048,0.017,0.056,0.024,0.021,0.003,0.001,0.027,0.004,0
348,53000,69500,1964,0.219,0.866,0.022,0.017,0.007,0.003,0.031,0,0.002,0.011,0.014,0.001,0.001,0.002,0.005,0
349,55000,79000,1966,0.246,1.09,0.014,0.044,0.012,0.001,0.012,0.004,0.035,0.011,0.085,0.001,0.001,0.001,0.025,0
350,59700,88100,1965,0.274,1.09,0.006,0.046,0.011,0.001,0.011,0.006,0.032,0.01,0.081,0.002,0.001,0.001,0.025,0
351,62000,85600,1965,0.24,1.19,0.022,0.028,0.029,0.001,0.076,0.011,0,0.037,0.04,0.002,0.001,0.001,0.005,0
352,37900,66000,1950,0.26,0.77,0.019,0,0.013,0.035,0.025,0.014,0,0.041,0.045,0,0,0.0002,0,0
353,48650,69100,1953,0.27,0.54,0.031,0.036,0.007,0.008,0.022,0.008,0,0.019,0.031,0.001,0,0,0.004,0
354,62000,84000,1967,0.214,1.15,0.021,0.019,0.016,0.005,0.035,0.016,0.023,0.06,0.073,0.004,0.003,0.034,0.013,0
355,55400,75600,1956,0.25,0.84,0.03,0.094,0.012,0.002,0.054,0.009,0.002,0.068,0.26,0.035,0.002,0.002,0.01,0
356,39700,64500,1930,0.078,0.406,0.051,0.011,0.095,0.001,0.007,0.001,0.005,0.006,0.004,0,0.001,0.001,0.003,0
357,46500,66000,1930,0.064,0.386,0.05,0.009,0.101,0.001,0.007,0.001,0.004,0.006,0.004,0,0.001,0.001,0.002,0
358,49700,66500,1930,0.243,0.816,0.013,0.057,0.016,0.002,0.025,0.002,0,0.005,0.006,0.001,0.001,0.001,0.001,0
359,50500,79000,1930,0.084,0.391,0.068,0.006,0.109,0.001,0.007,0.001,0.005,0.006,0.005,0,0.001,0.001,0.001,0
360,45600,68000,2001,0.133,1.04,0.005,0.198,0.007,0.03,0.008,0.002,0.063,0.007,0.013,0.001,0.002,0.001,0.001,0
361,56500,72500,1954,0.249,0.856,0.037,0.004,0.016,0.011,0.027,0.007,0.001,0.023,0.078,0.011,0.002,0.002,0.006,0
362,51500,76000,1950,0.245,1.01,0.027,0.015,0.009,0.02,0.026,0.007,0.001,0.048,0.057,0.004,0.004,0.002,0.005,0
363,54000,77000,1950,0.259,0.76,0.024,0.052,0.01,0.018,0.033,0.005,0,0.028,0.036,0.003,0.005,0.002,0.004,0
364,42700,59000,1977,0.221,0.898,0.019,0.014,0.011,0.001,0.024,0.002,0.001,0.019,0.042,0.002,0.001,0.001,0.005,0
365,47600,63000,1932,0.119,0.468,0.014,0.006,0.02,0,0.012,0.003,0,0.013,0.038,0.005,0.002,0.001,0.005,0
366,53000,66000,1952,0.267,0.689,0.027,0.009,0.008,0.002,0.035,0.012,0,0.049,0.167,0.009,0.001,0.001,0.035,0
367,54500,65500,1985,0.159,0.855,0.015,0.007,0.004,0.002,0.016,0.002,0,0.015,0.01,0.001,0.001,0.001,0.001,0
368,60000,67000,1993,0.066,0.622,0.006,0.152,0.02,0.032,0.031,0.006,0,0.012,0.015,0.001,0.002,0.013,0,0
369,67500,72000,2013,0.086,0.958,0.002,0.113,0.01,0.027,0.016,0.003,0,0.019,0.004,0,0.002,0.017,0,0
370,39200,60000,1930,0.164,0.513,0.017,0.027,0.007,0.011,0.008,0,0,0.007,0.02,0.001,0.001,0.001,0.004,0
371,43500,79500,1953,0.29,0.85,0.018,0.17,0.013,0.016,0.022,0.012,0.002,0.024,0.038,0.005,0.002,0.002,0.006,0
372,51000,83500,1953,0.29,0.91,0.021,0.16,0.015,0.017,0.023,0.013,0.002,0.023,0.033,0.004,0.002,0.002,0.005,0
373,54000,75500,1958,0.26,0.88,0.023,0.005,0.007,0.02,0.026,0.012,0.002,0.018,0.035,0.003,0.002,0.002,0.006,0
374,58000,71500,1948,0.255,0.553,0.019,0.002,0.028,0.051,0.025,0.008,0.001,0.059,0.059,0.003,0.002,0.004,0.006,0
375,31300,54000,1929,0.143,0.481,0.022,0.008,0.007,0.008,0.007,0.001,0,0.009,0.044,0.003,0.001,0.001,0.005,0
376,31800,53500,1929,0.143,0.449,0.023,0.016,0.007,0.009,0.007,0.001,0,0.008,0.011,0.001,0.001,0.001,0.004,0
377,33500,55000,1929,0.144,0.447,0.02,0.008,0.007,0.008,0.007,0.001,0,0.009,0.044,0.004,0.001,0.001,0.005,0
378,34400,56000,1929,0.141,0.448,0.022,0.015,0.007,0.012,0.007,0.001,0,0.007,0.012,0.001,0.001,0.001,0.004,0
379,39900,63000,1950,0.145,0.946,0.016,0.138,0.012,0,0.008,0.003,0.001,0.008,0.016,0.003,0.002,0,0.005,0
380,43500,66500,1951,0.255,0.65,0.031,0.023,0.012,0.002,0.024,0.005,0,0.019,0.019,0.002,0.006,0.001,0.003,0
381,43900,69000,1971,0.208,0.64,0.016,0.083,0.012,0.002,0.046,0.008,0,0.031,0.061,0.007,0.001,0.001,0.004,0
382,47100,55000,1933,0.123,0.459,0.019,0.004,0.01,0.001,0.04,0.002,0,0.022,0.072,0.008,0.001,0.001,0.005,0
383,48300,76500,1952,0.178,1.16,0.015,0.157,0.018,0.001,0.012,0.004,0.001,0.011,0.019,0.001,0.001,0.001,0.005,0
