name,Yield_Strength,Tensile_Strength,Pipe Vintage,%C,%Mn,%S,%Si,%P,%Al,%Cr,%Mo,%V,%Ni,%Cu,%Sn,%Ti,%Nb,%Co,Grade_Early_bin
44,43000,66500,1951,0.271,0.459,0.027,0.025,0.007,0.014,0.019,0.006,0,0.017,0.023,0.002,0.003,0.001,0,0
45,82500,96500,2011,0.065,1.59,0.002,0.266,0.011,0.03,0.149,0.05,0.077,0.147,0.265,0.013,0.008,0.049,0.01,0
46,85000,94000,2008,0.046,1.7,0.005,0.444,0.013,0.027,0.043,0.242,0.006,0.064,0.175,0.01,0.013,0.043,0.006,0
47,58800,80900,1973,0.19,1.37,0.021,0.27,0.017,0.043,0.008,0.002,0.001,0.011,0.031,0.002,0.003,0,0.004,0
48,63300,85900,1962,0.23,1.11,0.03,0.03,0.015,0.01,0.04,0.03,0.01,0.05,0.09,0,0.01,0,0,0
49,69000,77000,2012,0.036,1.1,0.001,0.218,0.012,0.029,0.033,0.009,0,0.024,0.059,0.004,0.011,0.033,0.002,0
50,72000,79500,2012,0.036,1.1,0.001,0.218,0.012,0.029,0.033,0.009,0,0.024,0.059,0.004,0.011,0.033,0.002,0
51,65500,91000,1971,0.156,1.43,0.003,0.298,0.017,0.055,0.012,0,0.004,0.016,0.01,0.001,0.002,0.043,0.007,0
52,68000,89500,1971,0.161,1.43,0.003,0.3,0.018,0.055,0.012,0,0.004,0.016,0.012,0.001,0.002,0.045,0.006,0
53,69500,93500,1971,0.167,1.44,0.005,0.311,0.022,0.064,0.015,0,0.004,0.014,0.013,0.001,0.002,0.045,0.005,0
54,70500,90000,1971,0.167,1.44,0.005,0.311,0.022,0.064,0.015,0,0.004,0.014,0.013,0.001,0.002,0.045,0.005,0
55,70500,87000,1971,0.161,1.43,0.003,0.3,0.018,0.055,0.012,0,0.004,0.016,0.012,0.001,0.002,0.045,0.006,0
56,73750,96500,1968,0.26,1.37,0.021,0.027,0.014,0.001,0.038,0.015,0.004,0.024,0.041,0.003,0.002,0.015,0.008,0
57,74000,96500,1968,0.26,1.37,0.021,0.027,0.014,0.001,0.038,0.015,0.004,0.024,0.041,0.003,0.002,0.015,0.008,0
58,74500,90000,1971,0.156,1.43,0.003,0.298,0.017,0.055,0.012,0,0.004,0.016,0.01,0.001,0.002,0.043,0.007,0
59,43200,79500,1957,0.272,1.1,0.018,0.029,0.015,0.003,0.045,0.009,0.003,0.027,0.038,0.003,0.002,0.003,0.007,0
60,45700,80500,1957,0.272,1.1,0.018,0.029,0.015,0.003,0.045,0.009,0.003,0.027,0.038,0.003,0.002,0.003,0.007,0
