ID,Yield_Strength,Tensile_Strength,C,Mn,Nb,Pipe_Vintage,Pipe_Grade
966,42500,65900,2.10E-01,6.55E-01,1.00E-03,1970,2
967,48600,65700,2.09E-01,9.26E-01,1.00E-03,1970,3
968,50000,69100,2.37E-01,7.51E-01,1.00E-03,1963,3
969,71000,82000,9.00E-02,1.15E+00,4.00E-02,1975,6
970,65500,79500,8.40E-02,1.09E+00,4.00E-02,1968,6
971,68000,84000,7.90E-02,1.01E+00,6.00E-02,1967,6
972,48600,67400,2.35E-01,7.39E-01,1.00E-03,1954,4
973,50000,65700,2.39E-01,7.68E-01,1.00E-03,1954,4
974,57900,78000,1.22E-01,4.12E-01,1.00E-03,1950,2
975,60700,82300,1.85E-01,4.65E-01,1.00E-03,1950,2
976,57600,73900,2.23E-01,5.74E-01,1.00E-03,1969,5
977,55500,82000,2.79E-01,8.30E-01,1.00E-03,1950,3
978,55000,73000,2.54E-01,6.30E-01,1.00E-03,1950,3
979,57200,75400,2.42E-01,5.75E-01,1.00E-03,1952,5
980,56500,75500,2.22E-01,1.03E+00,1.00E-03,1952,5
981,52000,69500,2.00E-01,6.70E-01,1.00E-03,1970,4
982,51000,62500,2.23E-01,6.00E-01,1.00E-03,1970,3
983,64800,87800,2.72E-01,9.78E-01,1.00E-03,1947,2
984,66600,88600,2.51E-01,8.27E-01,1.00E-03,1947,2
985,51600,73600,2.28E-01,8.81E-01,1.00E-03,1947,2
986,50600,75000,2.40E-01,8.73E-01,1.00E-03,1947,2
987,48500,65000,1.98E-01,7.14E-01,1.00E-03,1957,4
988,50000,65500,2.14E-01,7.08E-01,1.00E-03,1957,4
989,57000,73500,2.40E-01,7.63E-01,1.00E-03,1957,4
990,53300,66000,2.28E-01,6.96E-01,1.00E-03,1957,4
991,58500,76000,2.79E-01,7.74E-01,1.00E-03,1957,4
992,63000,75500,1.98E-01,6.33E-01,1.00E-03,1954,3
993,59000,71000,1.67E-01,6.68E-01,1.00E-03,1954,3
994,56500,70000,2.09E-01,4.95E-01,1.00E-03,1954,3
995,53500,66000,2.01E-01,6.24E-01,1.00E-03,1954,3
996,55000,67500,1.79E-01,6.86E-01,1.00E-03,1954,3
997,58500,72500,1.64E-01,6.61E-01,1.00E-03,1954,3
998,65500,81500,1.88E-01,6.55E-01,1.00E-03,1954,3
999,59000,69000,2.20E-01,4.99E-01,1.00E-03,1954,3
1000,63000,67500,5.00E-02,9.65E-01,2.10E-02,1957,3
1001,69500,75500,6.80E-02,9.45E-01,1.20E-02,1957,3
1002,73268,74913,5.30E-02,1.03E+00,2.00E-02,1954,5
1003,60587,78012,2.32E-01,1.19E+00,1.00E-03,1954,5
1004,54400,80200,2.26E-01,7.58E-01,1.00E-03,1983,3
1005,56200,85100,2.54E-01,9.52E-01,1.00E-03,1983,3
1006,46300,73500,2.92E-01,6.85E-01,7.00E-03,1949,3
1007,43500,67600,2.73E-01,6.66E-01,7.00E-03,1949,3
1008,43700,70400,2.89E-01,6.09E-01,7.00E-03,1949,3
1009,52400,80900,2.35E-01,8.78E-01,1.00E-03,1949,3
1010,52700,85500,2.64E-01,9.02E-01,1.00E-03,1949,3
1011,47200,82300,2.84E-01,8.53E-01,1.00E-03,1949,3
1012,54100,83300,2.87E-01,8.38E-01,1.00E-03,1949,3
1013,58000,77800,2.66E-01,7.70E-01,1.00E-03,2000,4
1014,49000,65100,1.09E-01,4.31E-01,1.00E-03,1990,2
1015,44000,63000,1.05E-01,4.01E-01,1.00E-03,1990,2
1016,40500,61500,1.41E-01,4.22E-01,1.00E-03,1990,2
1017,44100,73500,2.46E-01,6.63E-01,1.00E-03,1990,2
1018,46700,65600,1.25E-01,4.68E-01,1.00E-03,1990,2
1019,47900,76700,2.46E-01,6.58E-01,1.00E-03,1990,2
1020,61700,73800,1.96E-01,6.80E-01,1.00E-03,1990,3
1021,55700,67100,2.26E-01,4.89E-01,1.00E-03,1968,2
1022,61966,70353,1.79E-01,1.20E+00,1.00E-03,1954,5
1023,39500,67500,2.39E-01,5.60E-01,1.00E-03,1983,2
1024,41000,60500,1.63E-01,6.40E-01,1.00E-03,1983,2
1025,48300,67000,1.37E-01,6.90E-01,1.00E-03,1983,3
1026,47200,68000,1.52E-01,4.10E-01,1.00E-03,1983,3
1027,44000,60500,1.55E-01,6.90E-01,1.00E-03,1983,3
1028,45200,66000,2.47E-01,5.00E-01,1.00E-03,1983,3
1029,46000,69900,2.64E-01,4.50E-01,1.00E-03,1983,3
1030,51000,71500,1.95E-01,1.07E+00,1.00E-03,1983,4
1031,56500,74200,2.53E-01,8.08E-01,1.00E-03,1954,4
1032,55500,72400,2.48E-01,7.77E-01,1.00E-03,1954,4
1033,62541,70531,1.85E-01,1.16E+00,1.00E-03,1965,5
1034,58982,70016,1.90E-01,1.08E+00,1.00E-03,1965,5
1035,65140,82151,2.30E-01,1.19E+00,1.00E-03,1961,5
1036,63136,79222,2.32E-01,1.19E+00,1.00E-03,1992,5
1037,66989,79900,1.84E-01,1.30E+00,2.00E-03,1937,5
1038,62828,79135,2.24E-01,1.17E+00,1.00E-03,1963,5
1039,48191,75441,2.72E-01,8.25E-01,1.00E-03,1959,4
1040,45961,57208,1.20E-01,4.07E-01,1.00E-03,1946,2
1041,46500,60706,1.57E-01,5.85E-01,1.00E-03,1946,2
1042,51908,63246,1.64E-01,4.58E-01,1.00E-03,1946,2
1043,59600,71900,2.03E-01,1.00E+00,1.00E-03,1965,3
1044,59000,71800,2.01E-01,1.01E+00,1.00E-03,1965,3
1045,49700,78700,2.48E-01,9.72E-01,1.00E-03,1965,3
1046,55100,79000,2.48E-01,9.72E-01,1.00E-03,1965,3
1047,47700,72600,2.37E-01,9.03E-01,1.00E-03,1965,3
1048,47900,72100,2.37E-01,9.03E-01,1.00E-03,1965,3
1049,47732,61487,2.29E-01,4.28E-01,1.00E-03,1965,2
1050,60815,78056,2.43E-01,1.16E+00,1.00E-03,1963,5
1051,81400,102200,2.23E-01,8.87E-01,1.00E-03,1982,6
1052,76700,98000,2.20E-01,8.86E-01,1.00E-03,1982,6
1053,57700,74200,1.53E-01,6.94E-01,1.00E-03,1946,2
1054,54500,68600,1.84E-01,7.01E-01,1.00E-03,1946,2
1055,55083,69225,2.37E-01,7.84E-01,1.00E-03,1966,3
1056,55481,69483,2.46E-01,7.92E-01,1.00E-03,1966,3
1057,58595,67924,2.03E-01,9.63E-01,1.00E-03,1966,2
1058,48939,70424,2.25E-01,7.32E-01,1.00E-03,1966,3
1059,36120,51352,4.80E-02,3.30E-01,1.00E-03,1948,2
1060,35548,51030,4.80E-02,3.30E-01,1.00E-03,1948,2
1061,34476,49733,4.80E-02,3.30E-01,1.00E-03,1948,2
1062,35309,50591,3.80E-02,3.78E-01,1.00E-03,1948,2
1063,33401,49099,3.80E-02,3.78E-01,1.00E-03,1948,2
1064,35448,48143,3.80E-02,3.78E-01,1.00E-03,1948,2
1065,35619,47387,3.80E-02,3.78E-01,1.00E-03,1948,2
1066,35184,46681,3.80E-02,3.78E-01,1.00E-03,1948,2
1067,61400,91500,3.15E-01,1.29E+00,1.00E-03,1948,4
1068,52788,68279,2.93E-01,7.33E-01,1.00E-03,1963,4
1069,53232,69271,2.93E-01,7.33E-01,1.00E-03,1963,4
1070,54187,68674,2.93E-01,7.33E-01,1.00E-03,1963,4
1071,47817,76060,1.99E-01,1.12E+00,1.00E-03,1963,5
1072,53500,67000,2.93E-01,9.60E-01,1.00E-03,1963,5
1073,60900,82200,2.41E-01,1.14E+00,1.00E-03,1963,5
1074,60400,82200,2.68E-01,1.06E+00,1.00E-03,1963,5
1075,64500,84900,2.78E-01,1.01E+00,1.00E-03,1963,5
1076,49100,78000,2.86E-01,8.90E-01,1.00E-03,1963,5
1077,47900,76000,2.91E-01,1.01E+00,1.00E-03,1970,5
1078,65947,77332,1.05E-01,1.30E+00,1.00E-03,1970,5
1079,65941,86952,1.86E-01,1.23E+00,1.00E-03,1956,5
1080,35917,55021,1.22E-01,3.73E-01,1.00E-03,1944,1
1081,57500,70200,1.82E-01,5.14E-01,1.00E-03,1944,3
1082,54400,67200,2.28E-01,5.89E-01,1.00E-03,1944,3
1083,52700,67700,2.16E-01,5.48E-01,1.00E-03,1944,3
1084,50700,65300,1.83E-01,4.85E-01,1.00E-03,1944,3
1085,54200,65200,2.03E-01,5.23E-01,1.00E-03,1944,3
1086,48574,80225,2.67E-01,6.54E-01,1.00E-03,1970,3
1087,47682,73044,2.83E-01,5.38E-01,1.00E-03,1970,3
1088,64509,80594,2.70E-01,7.94E-01,1.00E-03,1956,5
1089,61871,80491,2.64E-01,7.18E-01,1.00E-03,1956,5
1090,52100,69100,2.23E-01,5.71E-01,1.00E-03,1960,4
1091,50700,69700,2.39E-01,6.17E-01,1.00E-03,1960,4
1092,54800,73900,2.86E-01,6.42E-01,1.00E-03,1960,4
1093,54300,72900,2.83E-01,6.30E-01,1.00E-03,1960,4
1094,47724,71422,2.56E-01,8.44E-01,1.00E-03,1960,4
1095,48515,77801,2.30E-01,8.63E-01,1.00E-03,1960,4
1096,44585,75184,2.43E-01,8.70E-01,1.00E-03,1960,4
1097,52852,83443,2.53E-01,9.19E-01,1.00E-03,1960,4
1098,52136,67127,2.53E-01,7.26E-01,1.00E-03,1960,3
1099,53481,67079,2.46E-01,7.22E-01,1.00E-03,1960,3
1100,53005,67131,2.58E-01,8.88E-01,1.00E-03,1960,3
1101,66754,79601,2.58E-01,8.61E-01,1.00E-03,1960,3
1102,64440,77767,2.57E-01,8.79E-01,1.00E-03,1960,3
1103,67649,80008,2.08E-01,8.46E-01,1.00E-03,1960,3
1104,50837,81469,3.00E-01,9.54E-01,1.00E-03,1957,3
1105,49364,77701,2.74E-01,9.89E-01,1.00E-03,1957,3
1106,51500,67000,2.09E-01,8.09E-01,1.00E-03,2015,3
1107,48000,64500,2.09E-01,8.09E-01,1.00E-03,2015,3
1108,48700,66000,2.09E-01,8.09E-01,1.00E-03,2015,3
1109,51000,66000,2.09E-01,8.09E-01,1.00E-03,2015,3
1110,52500,65500,2.09E-01,8.09E-01,1.00E-03,2015,3
1111,51500,64500,2.09E-01,8.09E-01,1.00E-03,2015,3
1112,46732,73596,2.45E-01,7.83E-01,1.00E-03,1937,2
1113,55476,74505,2.45E-01,7.83E-01,1.00E-03,1937,2
1114,49457,74336,1.99E-01,1.12E+00,1.00E-03,1963,5
1115,51344,74873,2.61E-01,8.92E-01,1.00E-03,1959,3
1116,57411,76739,2.44E-01,8.83E-01,1.00E-03,1959,3
1117,53311,75879,2.79E-01,8.70E-01,2.00E-03,1959,3
1118,50573,73656,2.78E-01,8.67E-01,2.00E-03,1959,3
1119,48633,69600,2.90E-01,8.08E-01,1.00E-03,1959,3
1120,49124,69045,2.60E-01,8.26E-01,1.00E-03,1959,3
1121,50303,72375,2.67E-01,7.82E-01,1.00E-03,1959,3
1122,51081,70091,2.66E-01,7.81E-01,1.00E-03,1959,3
1123,52572,73303,2.68E-01,8.40E-01,1.00E-03,1959,3
1124,48263,70828,2.60E-01,7.73E-01,1.00E-03,1959,3
1125,44996,72838,2.43E-01,8.06E-01,1.00E-03,1950,3
1126,53325,68877,2.29E-01,7.52E-01,1.00E-03,1948,4
1127,59889,81372,2.70E-01,9.16E-01,1.00E-03,1948,4
1128,58568,79832,2.56E-01,5.53E-01,1.00E-03,1948,4
1129,55558,73242,2.54E-01,7.12E-01,1.00E-03,1948,4
1130,59871,79909,2.86E-01,6.70E-01,1.00E-03,1948,4
1131,59337,77256,2.54E-01,5.40E-01,1.00E-03,1948,4
1132,63692,79102,2.38E-01,6.16E-01,1.00E-03,1948,4
1133,49136,63969,2.25E-01,7.36E-01,1.00E-03,1956,2
1134,53662,68462,2.41E-01,7.16E-01,1.00E-03,1956,2
1135,41519,71107,2.54E-01,7.41E-01,0.00E+00,1978,2
1136,54896,69026,2.29E-01,4.35E-01,1.00E-03,1946,2
1137,58731,72953,2.29E-01,4.35E-01,1.00E-03,1946,2
1138,81700,101200,5.00E-02,1.57E+00,6.90E-02,2007,8
1139,81200,100400,4.00E-02,1.58E+00,6.80E-02,2007,8
1140,49700,65900,1.72E-01,6.50E-01,1.00E-03,1956,2
1141,58438,74943,2.64E-01,7.18E-01,1.00E-03,1956,5
1142,61950,81701,2.00E-01,9.72E-01,3.60E-02,1962,5
1143,65253,78765,2.89E-01,1.17E+00,1.00E-03,1962,5
1144,56363,72828,2.46E-01,8.92E-01,1.00E-03,1972,5
1145,59200,71300,2.12E-01,6.08E-01,1.00E-03,1970,3
1146,57100,71100,2.10E-01,6.00E-01,1.00E-03,1970,3
1147,51300,64700,2.06E-01,5.98E-01,1.00E-03,1970,3
1148,57400,69400,2.10E-01,6.02E-01,1.00E-03,1970,3
1149,52800,64300,1.91E-01,5.90E-01,1.00E-03,1970,3
1150,50300,62200,2.02E-01,5.57E-01,1.00E-03,1970,3
1151,53100,65000,2.18E-01,5.83E-01,1.00E-03,1970,3
1152,57300,70600,2.12E-01,6.04E-01,1.00E-03,1970,3
1153,54400,65400,1.83E-01,5.64E-01,1.00E-03,1970,3
1154,42700,65800,1.23E-01,5.05E-01,1.00E-03,1970,3
1155,62300,73700,1.99E-01,5.46E-01,1.00E-03,1970,3
1156,65200,70248,5.20E-02,9.75E-01,2.30E-02,1970,3
1157,61300,68600,6.00E-02,8.77E-01,1.60E-02,1970,3
1158,60579,70780,6.00E-02,6.34E-01,2.90E-02,1972,5
1159,58436,78915,2.39E-01,9.96E-01,1.00E-03,1954,5
1160,83460,90873,3.60E-02,1.56E+00,6.40E-02,2007,8
1161,82995,92531,3.60E-02,1.56E+00,6.40E-02,2011,8
1162,87076,96987,4.90E-02,1.55E+00,6.70E-02,2013,8
1163,88842,100660,4.90E-02,1.55E+00,6.70E-02,2013,8
1164,63894,77502,2.82E-01,6.90E-01,1.00E-03,2017,4
1165,63661,85490,2.74E-01,9.40E-01,1.00E-03,2017,4
1166,51025,72529,1.62E-01,6.39E-01,1.00E-03,1957,2
1167,46773,74686,2.54E-01,6.76E-01,1.00E-03,1957,2
1168,47882,73734,2.50E-01,6.70E-01,1.00E-03,1957,2
1169,59498,73047,2.64E-01,7.18E-01,1.00E-03,1953,4
1170,74600,99600,1.84E-01,1.01E+00,2.60E-02,1982,6
1171,52702,78723,2.39E-01,9.96E-01,1.00E-03,1966,5
1172,60063,80154,2.68E-01,1.16E+00,1.00E-03,1966,5
1173,49752,60437,1.50E-01,6.60E-01,1.00E-03,1951,3
1174,35917,55021,1.22E-01,3.73E-01,1.00E-03,1944,1
1175,44879,74652,2.39E-01,5.29E-01,1.00E-03,1940,2
1176,52903,79592,2.68E-01,1.16E+00,1.00E-03,1972,5
1177,62120,82654,2.79E-01,7.82E-01,1.00E-03,1960,4
1178,57942,78281,2.67E-01,8.19E-01,1.00E-03,1960,4
1179,60128,78903,2.40E-01,7.46E-01,1.00E-03,1960,4
1180,55218,76711,2.16E-01,7.01E-01,1.00E-03,1972,2
1181,56444,76663,2.49E-01,9.61E-01,1.00E-03,1968,5
1182,49770,75049,2.49E-01,9.61E-01,1.00E-03,1949,5
1183,40453,68055,2.23E-01,5.40E-01,1.00E-03,1949,2
1184,49465,74285,2.32E-01,6.64E-01,1.00E-03,1945,2
1185,51985,62029,9.60E-02,6.30E-01,7.00E-03,1960,2
1186,60398,83233,2.79E-01,1.08E+00,2.00E-03,2011,5
1187,50164,77529,1.53E-01,4.27E-01,1.00E-03,1972,2
1188,52622,82360,2.79E-01,1.08E+00,2.00E-03,1954,5
1189,52608,78949,2.56E-01,8.20E-01,0.00E+00,1948,4
1190,53598,72346,2.34E-01,9.36E-01,1.00E-03,1948,3
1191,49884,71933,2.27E-01,7.08E-01,1.00E-03,1948,3
1192,51957,71061,2.26E-01,7.18E-01,1.00E-03,1948,3
1193,55538,71486,2.15E-01,7.40E-01,1.00E-03,1975,3
1194,56169,78151,2.58E-01,9.95E-01,2.00E-03,1954,5
1195,50950,69436,2.17E-01,1.26E+00,1.00E-03,1974,4
1196,50686,77397,2.58E-01,9.95E-01,2.00E-03,1954,5
1197,41435,68318,2.58E-01,5.35E-01,1.00E-03,1955,2
1198,48424,70209,2.40E-01,1.08E+00,1.00E-03,1977,3
1199,65333,76582,1.84E-01,5.44E-01,1.00E-03,1956,2
1200,59876,85478,2.74E-01,1.07E+00,1.00E-03,1949,4
1201,52680,72836,2.25E-01,6.50E-01,1.00E-03,1949,4
1202,62567,85024,2.72E-01,9.30E-01,1.00E-03,1949,4
1203,59732,83870,2.87E-01,9.60E-01,1.00E-03,1949,4
1204,56480,79950,2.77E-01,8.20E-01,1.00E-03,1949,4
1205,53288,76004,2.78E-01,7.70E-01,1.00E-03,1949,4
1206,51299,76839,2.92E-01,1.01E+00,1.00E-03,1970,2
1207,55433,72393,2.44E-01,7.49E-01,1.00E-03,1954,4
1208,34083,45707,5.84E-02,1.97E-01,1.20E-03,1946,1
1209,39457,56011,2.40E-01,5.81E-01,2.29E-03,1937,2
1210,58251,73491,2.27E-01,6.21E-01,2.75E-03,2001,3
1211,58048,75351,2.81E-01,8.44E-01,6.13E-04,1948,4
1212,64407,71872,1.88E-01,1.04E+00,3.16E-03,1970,5
1213,75623,70108,2.09E-01,1.20E+00,8.84E-04,1951,6
1214,69760,86467,1.58E-01,1.58E+00,5.55E-02,1964,7
1215,81175,98666,6.93E-02,1.32E+00,4.75E-02,1994,8
1216,33054,49707,1.49E-01,4.98E-01,2.89E-06,1944,1
1217,43643,79713,1.41E-01,8.35E-01,3.70E-03,1954,2
1218,45337,70570,2.76E-01,1.13E+00,2.78E-03,1982,3
1219,48604,83663,1.84E-01,8.02E-01,1.25E-03,1962,4
1220,52110,91724,2.27E-01,1.40E+00,1.16E-02,1959,5
1221,90067,83751,2.61E-01,9.71E-01,1.05E-02,1952,5
1222,75751,79952,2.06E-01,1.03E+00,1.38E-02,1975,6
1223,70576,98548,1.54E-01,9.19E-01,4.50E-02,1990,6
1224,81496,94313,4.03E-02,1.48E+00,3.91E-02,1997,8
1225,34552,50719,1.45E-01,3.04E-01,5.90E-04,1963,1
1226,49033,68094,2.72E-01,8.57E-01,8.80E-04,1984,2
1227,58853,65622,1.88E-01,7.01E-01,6.95E-03,1983,3
1228,53042,65359,2.21E-01,7.77E-01,1.81E-03,1954,4
1229,58575,90539,2.31E-01,9.20E-01,1.01E-02,1958,5
1230,79276,98080,4.18E-01,1.23E+00,4.43E-02,1953,5
1231,61765,77952,2.02E-01,1.02E+00,9.98E-03,1947,6
1232,74168,91254,1.35E-01,9.13E-01,4.12E-02,1982,6
1233,83678,95217,4.10E-02,1.93E+00,6.58E-02,1996,8
1234,35251,65919,5.65E-02,4.78E-01,1.42E-03,1940,1
1235,39421,73542,1.19E-01,3.64E-01,3.66E-03,1937,2
1236,58253,74977,2.50E-01,8.20E-01,9.59E-04,1953,3
1237,48684,71614,2.26E-01,7.93E-01,6.94E-05,1954,3
1238,64282,84455,2.03E-01,9.18E-01,5.80E-03,1963,5
1239,75631,79011,2.76E-01,1.00E+00,2.80E-03,1952,5
1240,76303,85768,2.77E-01,6.30E-01,3.47E-02,1971,6
1241,73715,94163,1.62E-01,1.32E+00,2.81E-02,1992,6
1242,77439,101606,3.38E-02,1.48E+00,6.60E-02,2010,8
1243,32887,55399,8.38E-02,4.90E-01,5.08E-04,1957,1
1244,42316,75066,1.74E-01,3.28E-01,6.90E-05,1963,2
1245,58487,73444,1.94E-01,6.19E-01,5.07E-03,1994,3
1246,53349,75737,2.08E-01,8.63E-01,1.44E-03,1974,3
1247,57197,91267,1.83E-01,1.23E+00,8.20E-03,1967,5
1248,84878,98273,3.23E-01,9.10E-01,2.16E-02,1953,5
1249,66717,77000,2.27E-01,8.27E-01,1.04E-02,1972,6
1250,70510,86006,5.28E-02,1.40E+00,3.67E-02,1993,6
1251,85057,99411,3.58E-02,1.40E+00,3.86E-02,2016,8
1252,31214,47612,1.54E-02,7.57E-01,3.00E-04,1970,1
1253,42051,54154,2.34E-01,2.90E-01,4.90E-04,1994,2
1254,62250,68134,2.06E-01,7.88E-01,3.54E-04,1988,3
1255,51059,69236,2.25E-01,6.90E-01,1.28E-03,1961,3
1256,64252,81779,1.99E-01,1.29E+00,2.74E-02,1955,5
1257,88600,93969,3.07E-01,1.25E+00,1.57E-02,1953,5
1258,75558,87214,2.21E-01,1.16E+00,1.74E-02,1962,6
1259,69876,79084,6.35E-02,1.32E+00,3.86E-02,1970,6
1260,83103,98958,7.05E-02,1.52E+00,7.37E-02,1981,8
1261,35446,49621,1.36E-02,3.93E-01,1.56E-03,1943,1
1262,38851,60811,1.66E-01,3.94E-01,2.31E-03,1998,2
1263,58845,70264,1.59E-01,2.80E-01,1.38E-03,1943,3
1264,51270,75774,2.62E-01,7.89E-01,1.20E-03,1947,3
1265,64812,82717,2.29E-01,9.92E-01,3.50E-03,1977,5
1266,85040,107673,5.17E-01,1.08E+00,6.99E-04,1955,5
1267,67868,90941,1.93E-01,1.00E+00,6.73E-06,1944,6
1268,70888,83511,1.45E-01,3.48E-01,3.42E-02,2008,6
1269,82873,87496,6.36E-02,1.41E+00,4.62E-02,2014,8
1270,35651,51107,1.65E-01,3.22E-01,5.11E-04,1949,1
1271,49164,68370,1.58E-01,9.46E-01,4.58E-03,1970,2
1272,63075,70768,2.11E-01,5.48E-01,5.07E-05,1946,3
1273,60359,79452,2.32E-01,6.22E-01,1.71E-03,1974,3
1274,59316,97474,2.27E-01,9.89E-01,1.05E-02,1968,5
1275,85263,83247,4.14E-01,6.58E-01,3.31E-03,1950,5
1276,75850,84564,2.33E-01,1.17E+00,2.50E-02,1972,5
1277,72587,91255,1.24E-01,1.24E+00,3.48E-02,1982,5
1278,78516,95608,4.81E-02,8.26E-01,5.18E-02,1982,8
1279,34459,52438,1.26E-01,5.24E-01,1.17E-03,1955,1
1280,59228,64625,3.02E-01,4.08E-01,2.50E-03,1984,3
1281,50333,75076,2.39E-01,9.35E-01,6.26E-04,1965,3
1282,53738,91212,2.66E-01,9.66E-01,1.94E-02,1944,5
1283,85154,90142,1.60E-01,1.59E+00,1.23E-02,1951,5
1284,61793,75025,2.92E-01,8.67E-01,1.80E-02,1985,5
1285,69779,90157,8.23E-02,1.34E+00,6.25E-02,2018,5
1286,83825,100452,3.14E-02,1.56E+00,3.32E-02,1999,8
1287,32940,50930,7.89E-02,6.69E-01,6.74E-04,1945,1
1288,49296,63291,2.56E-01,4.38E-01,4.28E-04,1955,2
1289,51866,72289,3.15E-01,6.81E-01,1.35E-03,1944,3
1290,60223,74603,2.17E-01,6.89E-01,1.25E-03,1961,3
1291,54683,73122,2.79E-01,1.47E+00,2.35E-02,1965,5
1292,76028,97937,4.15E-01,9.12E-01,3.10E-02,1953,5
1293,65014,85262,1.21E-01,7.60E-01,1.44E-02,1974,5
1294,71927,91953,5.29E-02,8.77E-01,4.46E-02,1952,5
1295,82751,94282,3.10E-02,1.07E+00,6.38E-02,2002,8
1296,32463,47265,6.53E-02,5.90E-02,4.58E-04,1973,1
1297,44592,56364,2.74E-01,4.60E-01,1.15E-03,1933,2
1298,58469,71202,2.45E-01,8.18E-01,1.24E-02,1993,3
1299,57973,79697,2.78E-01,7.84E-01,6.45E-04,1968,3
1300,58447,89819,2.49E-01,1.11E+00,8.16E-03,1957,5
1301,87903,81003,1.25E-01,1.30E+00,2.01E-02,1956,5
1302,67045,90041,2.27E-01,1.33E+00,1.63E-02,1945,5
1303,69863,87746,1.41E-01,1.47E+00,5.18E-02,1982,5
1304,81792,88189,3.08E-02,1.36E+00,7.10E-02,1997,8
1305,32786,51113,1.16E-01,3.85E-01,1.33E-03,1966,1
1306,41015,66760,2.37E-01,7.27E-01,3.11E-03,1937,2
1307,58927,77749,3.00E-01,5.85E-01,2.06E-03,1993,3
1308,47897,83224,1.96E-01,8.02E-01,1.62E-03,1961,3
1309,66425,88942,2.15E-01,1.19E+00,5.87E-03,1973,5
1310,87860,95943,2.99E-01,1.34E+00,4.88E-02,1949,5
1311,64305,86208,2.47E-01,1.36E+00,2.02E-02,1963,5
1312,71397,86216,1.89E-01,1.02E+00,4.70E-02,1992,5
1313,84749,83140,5.95E-02,1.62E+00,6.57E-02,1987,8
1314,33695,68467,5.45E-02,5.69E-01,1.14E-03,1949,1
1315,38770,78819,2.84E-01,7.47E-01,2.82E-03,1932,2
1316,63354,59807,2.68E-01,4.27E-01,1.65E-02,1986,2
1317,52032,71225,2.38E-01,9.26E-01,1.58E-03,1958,2
1318,66203,69039,2.65E-01,9.09E-01,1.25E-03,1962,2
1319,88527,83452,4.97E-01,1.90E+00,1.48E-02,1951,2
1320,64851,90429,1.40E-01,1.57E+00,2.22E-02,1937,2
1321,71952,89299,2.20E-01,1.29E+00,5.57E-02,1996,2
1322,83502,101390,3.94E-02,1.44E+00,5.62E-02,2029,8
1323,35196,52326,1.66E-01,3.89E-01,2.25E-03,1974,1
1324,42318,68695,1.92E-01,9.37E-01,1.20E-03,1981,2
1325,59023,71023,3.04E-01,6.23E-01,7.12E-03,1965,2
1326,47519,77097,1.95E-01,8.08E-01,2.53E-03,1958,2
1327,66651,92057,1.32E-01,9.27E-01,1.12E-02,1958,2
1328,85325,95213,2.79E-01,1.33E+00,4.37E-02,1952,2
1329,76488,81685,3.59E-01,1.09E+00,3.02E-02,1961,2
1330,72540,89949,1.33E-02,8.58E-01,5.58E-02,1999,2
1331,79755,94318,6.33E-02,1.53E+00,3.79E-02,1986,8
1332,31743,56103,2.92E-02,4.50E-01,1.87E-04,1952,1
1333,43115,69266,1.86E-01,4.93E-01,1.04E-04,1989,2
1334,58365,65625,1.91E-01,1.02E+00,3.31E-04,1954,2
1335,58336,69595,2.86E-01,6.78E-01,1.29E-03,1958,2
1336,62059,89561,2.51E-01,1.04E+00,1.37E-03,1957,2
1337,86529,122240,4.05E-01,1.01E+00,1.56E-02,1954,2
1338,76513,73799,1.65E-01,1.06E+00,3.03E-02,1953,2
1339,74375,86541,1.08E-01,8.32E-01,1.04E-02,1979,2
1340,83061,79283,5.70E-02,1.01E+00,3.32E-02,1994,8
1341,35540,44852,9.68E-02,6.02E-01,9.73E-04,1946,1
1342,52192,68346,1.29E-01,4.27E-01,9.40E-04,1940,2
1343,57974,63706,2.18E-01,5.85E-01,7.53E-04,1989,2
1344,58180,66466,2.45E-01,6.23E-01,2.26E-05,1962,2
1345,55137,92473,1.66E-01,1.01E+00,1.18E-02,1957,2
1346,87814,102369,3.10E-01,1.02E+00,3.67E-02,1955,2
1347,66750,94750,1.84E-01,1.12E+00,5.69E-03,1948,2
1348,75191,91641,9.05E-02,1.64E+00,3.67E-02,1971,2
1349,78919,97640,4.51E-02,1.72E+00,7.50E-02,2032,8
1350,31994,57029,6.45E-02,7.11E-01,1.47E-03,1973,1
1351,52960,68064,2.17E-01,6.64E-01,9.86E-04,1963,2
1352,52112,70997,3.00E-01,1.11E+00,6.92E-03,1956,2
1353,54545,67898,2.51E-01,7.80E-01,1.29E-03,1974,2
1354,53510,81529,2.03E-01,1.26E+00,1.96E-02,1972,2
1355,87799,95341,3.37E-01,1.24E+00,3.00E-02,1951,2
1356,75893,92916,2.80E-01,1.31E+00,3.46E-02,1974,2
1357,76804,93352,1.70E-01,9.41E-01,7.18E-02,1987,2
1358,85479,101069,6.78E-02,1.43E+00,7.25E-02,1991,8
1359,35899,56198,9.86E-02,2.93E-01,1.01E-03,1951,1
1360,43030,84950,2.55E-01,6.44E-01,1.34E-04,1988,1
1361,55550,73661,1.55E-01,7.93E-01,1.94E-03,1970,1
1362,52283,65658,2.52E-01,7.21E-01,2.36E-03,1947,1
1363,53871,90586,1.52E-01,1.10E+00,1.74E-02,1969,1
1364,76687,82965,2.45E-01,6.34E-01,3.93E-02,1956,1
