ID,Yield_Strength,Tensile_Strength,C,Mn,Nb,Pipe_Vintage,Pipe_Grade
93,48100,74000,2.40E-01,5.70E-01,0.00E+00,1939,3
94,48900,73500,2.40E-01,5.70E-01,0.00E+00,1939,3
95,55000,73000,2.70E-01,8.60E-01,2.00E-03,1967,5
96,73500,90000,1.10E-01,1.50E+00,5.40E-02,1982,7
97,61500,73000,2.10E-01,4.80E-01,1.00E-03,1960,3
98,50500,66000,2.70E-01,7.80E-01,2.00E-03,1960,3
99,51000,83500,2.90E-01,9.10E-01,2.00E-03,1960,4
100,62000,81500,2.80E-01,7.10E-01,2.00E-03,1953,4
101,43500,79500,2.90E-01,8.50E-01,2.00E-03,1950,4
102,54500,79500,1.50E-01,6.80E-01,1.00E-03,1950,4
103,58500,73500,2.20E-01,6.50E-01,3.00E-03,1960,3
104,54000,75500,2.60E-01,8.80E-01,2.00E-03,1958,4
105,45900,62500,2.20E-01,7.60E-01,2.00E-03,1974,2
106,49700,65000,2.20E-01,7.60E-01,2.00E-03,1974,2
107,51500,66500,2.20E-01,7.60E-01,2.00E-03,1974,2
108,56000,76000,2.70E-01,8.90E-01,2.00E-03,1966,5
109,54000,74500,1.90E-01,7.50E-01,2.00E-03,1959,4
110,54500,76000,2.55E-01,1.05E+00,3.00E-03,1955,5
111,55000,74500,1.99E-01,1.07E+00,6.00E-03,1970,5
112,50000,73500,2.57E-01,1.04E+00,2.00E-03,1968,5
113,47900,66000,2.60E-01,7.90E-01,3.00E-03,1950,3
114,75500,87000,6.40E-02,1.03E+00,6.30E-02,1982,7
115,48700,65000,2.30E-01,5.41E-01,2.00E-03,1946,2
116,46100,62500,1.60E-01,6.60E-01,2.00E-03,1958,4
117,47600,69500,2.50E-01,8.30E-01,2.00E-03,1958,4
118,49400,69000,2.30E-01,6.80E-01,2.00E-03,1958,4
119,49800,70500,2.60E-01,6.90E-01,1.00E-03,1958,4
120,51500,71500,2.20E-01,7.10E-01,2.00E-03,1958,4
121,51500,68000,2.10E-01,6.40E-01,1.00E-03,1958,4
122,53500,73000,3.20E-01,7.80E-01,2.00E-03,1958,4
123,53500,71000,2.20E-01,6.30E-01,2.00E-03,1958,4
124,54000,72000,2.70E-01,8.30E-01,2.00E-03,1958,4
125,54500,70000,2.50E-01,5.70E-01,2.00E-03,1958,4
126,56000,73500,2.60E-01,7.60E-01,2.00E-03,1958,4
127,57000,72500,2.53E-01,7.84E-01,3.00E-03,1958,4
128,60000,79000,2.90E-01,8.10E-01,2.00E-03,1958,4
129,35100,51500,4.20E-02,3.20E-01,2.00E-03,1948,1
130,72000,75500,6.40E-02,8.59E-01,2.40E-02,1997,3
131,51000,72750,2.57E-01,1.04E+00,2.00E-03,1967,5
132,37000,53500,6.40E-02,3.80E-01,1.00E-03,1948,1
133,41700,52500,6.40E-02,3.80E-01,1.00E-03,1948,1
134,54500,79500,2.69E-01,9.81E-01,2.00E-03,1954,5
135,54500,70000,1.99E-01,1.04E+00,1.40E-02,1954,5
136,62500,73500,4.00E-02,1.17E+00,3.60E-02,1954,5
137,61500,79500,1.80E-01,9.31E-01,3.80E-02,1954,5
138,58100,81500,2.85E-01,9.60E-01,3.00E-03,1949,3
139,39800,61500,1.32E-01,4.51E-01,1.00E-03,1949,2
140,53500,71000,2.50E-01,8.30E-01,0.00E+00,1949,4
141,56000,70500,2.20E-01,9.70E-01,0.00E+00,1949,4
142,59500,71500,2.30E-01,8.30E-01,0.00E+00,1949,4
143,60500,75500,2.40E-01,8.90E-01,0.00E+00,1949,4
144,69500,79000,1.80E-01,9.31E-01,3.80E-02,1971,5
145,64000,93500,2.80E-01,1.21E+00,3.00E-03,1962,5
146,61500,86000,2.72E-01,1.07E+00,2.00E-03,1962,5
147,50500,69000,1.53E-01,5.50E-01,2.00E-03,1949,5
148,49500,69000,2.88E-01,6.30E-01,2.00E-03,1964,3
149,57000,71000,1.49E-01,6.85E-01,2.00E-03,1946,2
150,62500,82500,1.87E-01,7.23E-01,2.00E-03,1956,6
151,54000,69500,1.78E-01,9.10E-01,3.00E-02,1969,5
152,52500,80500,3.38E-01,5.17E-01,1.00E-03,1943,3
153,45400,66500,1.91E-01,4.06E-01,0.00E+00,1942,2
154,47900,68500,2.33E-01,3.89E-01,0.00E+00,1942,2
155,48500,66500,2.28E-01,3.53E-01,0.00E+00,1942,2
156,53500,68500,2.78E-01,8.41E-01,2.00E-03,1969,2
157,56500,73500,2.37E-01,9.49E-01,2.00E-03,1969,2
158,61500,82000,2.52E-01,9.43E-01,2.00E-03,1968,4
159,60500,80000,2.37E-01,1.33E+00,3.00E-02,1956,6
160,54500,69500,1.92E-01,7.60E-01,2.50E-02,2001,5
161,73750,96500,2.60E-01,1.37E+00,1.50E-02,1992,7
162,74000,96500,2.60E-01,1.37E+00,1.50E-02,1992,7
163,56000,72500,2.37E-01,5.82E-01,2.00E-03,1968,3
164,58000,74500,2.34E-01,5.75E-01,2.00E-03,1968,3
165,49600,64000,2.01E-01,5.57E-01,2.00E-03,1968,2
166,46800,77000,3.17E-01,6.59E-01,2.00E-03,1968,3
167,53000,79500,2.90E-01,9.51E-01,2.00E-03,1968,4
168,49100,63000,1.84E-01,5.36E-01,3.00E-03,1968,2
169,49900,66000,1.86E-01,6.68E-01,3.00E-03,1968,2
170,52000,67000,1.77E-01,7.21E-01,3.00E-03,1968,2
171,53000,70500,2.53E-01,7.75E-01,3.00E-03,1968,2
172,55000,70000,2.16E-01,7.94E-01,2.00E-03,1968,2
173,54500,71000,1.91E-01,8.50E-01,2.80E-02,1970,5
174,54500,71000,1.73E-01,8.20E-01,2.30E-02,1970,5
175,54500,72500,1.96E-01,9.30E-01,2.70E-02,1962,5
176,55000,75000,1.85E-01,1.04E+00,3.10E-02,1975,5
177,55000,71500,1.95E-01,8.90E-01,2.60E-02,1968,5
178,55000,69500,1.58E-01,7.80E-01,2.40E-02,1968,5
179,56000,73000,1.92E-01,8.60E-01,3.00E-02,1968,5
180,56000,71000,1.57E-01,7.80E-01,2.40E-02,1968,5
181,56500,73500,1.67E-01,8.30E-02,3.00E-02,1968,5
182,57500,70500,1.69E-01,9.00E-01,3.40E-02,1968,5
183,58000,71500,1.73E-01,8.10E-01,3.00E-02,1968,5
184,58000,75000,1.95E-01,1.00E+00,2.90E-02,1968,5
185,58500,73500,1.67E-01,8.20E-01,3.00E-02,1968,5
186,59000,74500,1.85E-01,9.40E-01,2.50E-02,1968,5
187,59000,74500,1.85E-01,9.40E-01,2.50E-02,1968,5
188,59500,70500,1.82E-01,8.10E-01,3.00E-02,1968,5
189,60500,73500,1.62E-01,8.50E-01,2.90E-02,1968,5
190,61500,80000,1.68E-01,1.03E+00,2.80E-02,1968,5
191,62000,78500,1.89E-01,1.03E-01,3.00E-02,1968,5
192,62000,79500,1.89E-01,9.40E-01,3.50E-02,1968,5
193,63000,77000,1.72E-01,7.80E-01,3.00E-02,1968,5
194,54500,87000,2.60E-01,1.20E+00,2.00E-03,1968,5
195,57000,87500,2.60E-01,1.20E+00,2.00E-03,1968,5
196,58500,66000,7.10E-02,9.95E-01,1.70E-02,1968,5
197,45600,69000,2.81E-01,1.22E+00,2.00E-03,1968,5
198,56000,79500,3.07E-01,1.09E+00,2.00E-03,1968,5
199,58000,74000,2.61E-01,9.36E-01,2.00E-03,1968,5
200,34900,53000,8.00E-02,4.13E-01,3.00E-03,1968,2
201,51500,71000,2.24E-01,6.81E-01,1.00E-03,1968,4
202,65000,79000,2.01E-01,7.37E-01,2.80E-02,1968,5
203,72500,91000,2.04E-01,7.29E-01,3.00E-02,1968,5
204,51500,70000,1.90E-01,6.01E-01,3.00E-03,1968,4
