Joint,OD_WT_Ratio,Pipe_WT,Pipe_OD,C,Mn
"16"" Channel Shell",0.0234375,0.375,16,0.19,0.76
"16"" Tube Shell",0.0234375,0.375,16,0.18,0.61
"20"" Head Shell",0.01875,0.375,20,0.19,0.88
"20"" Floating Head",0.01875,0.375,20,0.21,0.78
