ID,OD_WT_Ratio,Pipe_WT,Pipe_OD,Yield_Strength,Tensile_Strength,Pipe_Vintage,C,Mn,Nb,Pipe_Grade
86,0.015625,0.375,24,81000,84700,1952,0.264,1.01,0.001,5
87,0.015625,0.375,24,84000,96000,2011,0.062,1.68,0.045,7
88,0.015625,0.375,24,85000,89500,1952,0.27,1.14,0.001,5
89,0.017045455,0.375,22,49600,82500,1952,0.267,0.78,0.002,4
90,0.01875,0.375,20,78500,84000,2015,0.074,1.36,0.04,7
91,0.01875,0.375,20,80500,95000,2015,0.074,1.36,0.04,7
92,0.0234375,0.375,16,42500,68000,1951,0.239,0.7,0.001,3
93,0.0234375,0.375,16,43500,70000,1962,0.283,0.673,0.001,3
94,0.0234375,0.375,16,43500,67500,1951,0.239,0.7,0.001,3
95,0.0234375,0.375,16,43800,70500,1951,0.338,0.74,0.001,3
96,0.0234375,0.375,16,44800,71000,1951,0.338,0.74,0.001,3
97,0.0234375,0.375,16,45000,78500,1951,0.285,0.82,0.001,3
98,0.0234375,0.375,16,46300,71000,1951,0.279,0.74,0.001,3
99,0.0234375,0.375,16,46700,76500,1951,0.259,1.05,0.001,3
100,0.0234375,0.375,16,46800,78500,1951,0.285,0.82,0.001,3
101,0.0234375,0.375,16,46800,71500,1951,0.279,0.74,0.001,3
102,0.0234375,0.375,16,47600,78000,1951,0.267,0.82,0.001,3
103,0.0234375,0.375,16,48300,78500,1951,0.267,0.82,0.001,3
104,0.0234375,0.375,16,48500,79000,1951,0.277,1.09,0.002,3
105,0.0234375,0.375,16,48600,68000,2008,0.163,1.02,0.001,3
106,0.0234375,0.375,16,48800,78000,1951,0.259,1.05,0.001,3
107,0.0234375,0.375,16,49300,79000,1951,0.277,1.09,0.002,3
108,0.0234375,0.375,16,49800,68500,2008,0.151,1.03,0.001,3
109,0.0234375,0.375,16,50000,74500,1951,0.24,1.04,0.001,3
110,0.0234375,0.375,16,50000,79000,1951,0.251,1.04,0.001,3
111,0.0234375,0.375,16,51000,80500,1951,0.251,1.04,0.001,3
112,0.0234375,0.375,16,53000,75500,1951,0.24,1.04,0.001,3
113,0.0234375,0.375,16,57700,70500,1999,0.06,0.969,0.02,3
114,0.0234375,0.375,16,58500,70000,1999,0.056,0.956,0.022,3
115,0.0234375,0.375,16,59500,71000,1999,0.056,0.956,0.022,3
116,0.0234375,0.375,16,68000,72000,1999,0.06,0.969,0.02,3
117,0.026785714,0.375,14,43700,73500,1951,0.284,0.916,0.002,3
118,0.026785714,0.375,14,43800,74000,1951,0.285,0.916,0.002,3
119,0.026785714,0.375,14,43800,78000,1951,0.285,0.916,0.002,3
120,0.026785714,0.375,14,44200,77000,1951,0.2,0.52,0,2
121,0.026785714,0.375,14,47700,76500,1951,0.285,0.904,0.002,3
122,0.026785714,0.375,14,47900,77500,1951,0.284,0.904,0.003,3
123,0.026785714,0.375,14,48200,77500,1951,0.284,0.916,0.002,3
124,0.026785714,0.375,14,48400,77000,1951,0.285,0.904,0.002,3
125,0.026785714,0.375,14,48700,79000,1951,0.286,0.913,0.002,3
126,0.026785714,0.375,14,49000,77000,1951,0.285,0.911,0.002,3
127,0.026785714,0.375,14,49000,77000,1951,0.285,0.911,0.002,3
128,0.026785714,0.375,14,49000,80000,1951,0.284,0.904,0.003,3
129,0.026785714,0.375,14,50500,79000,1951,0.286,0.913,0.002,3
130,0.026785714,0.375,14,51500,79000,1951,0.283,0.912,0.002,3
131,0.029411765,0.375,12.75,53000,67000,1984,0.28,0.55,0.001,2
132,0.029411765,0.375,12.75,54500,86000,1988,0.281,0.648,0.002,5
133,0.029411765,0.375,12.75,61500,71500,2001,0.043,1.16,0.035,5
134,0.029411765,0.375,12.75,62500,73500,2001,0.04,1.17,0.036,5
135,0.0375,0.375,10,47700,70000,1948,0.228,0.542,0.001,2
136,0.043478261,0.375,8.625,52500,63000,1957,0.177,0.805,0.001,3
137,0.043478261,0.375,8.625,55500,61500,1957,0.177,0.805,0.001,3
138,0.043478261,0.375,8.625,57000,74500,1964,0.227,0.69,0.001,2
139,0.043478261,0.375,8.625,60000,74500,1964,0.227,0.69,0.001,2
140,0.043478261,0.375,8.625,66000,82000,1964,0.227,0.69,0.001,2
141,0.056603774,0.375,6.625,45100,71500,1979,0.245,0.542,0.001,3
142,0.033953488,0.365,10.75,34900,53000,1930,0.08,0.413,0.003,2
143,0.033953488,0.365,10.75,36600,52500,1927,0.086,0.405,0.001,1
144,0.033953488,0.365,10.75,39100,55500,1927,0.105,0.427,0.001,1
145,0.033953488,0.365,10.75,40000,66000,1968,0.21,0.751,0.001,2
146,0.011933333,0.358,30,88000,100000,2001,0.052,1.58,0.073,8
147,0.0179,0.358,20,54500,87000,1949,0.26,1.2,0.002,5
148,0.0179,0.358,20,57000,87500,1949,0.26,1.2,0.002,5
149,0.03255814,0.35,10.75,61000,93000,1970,0.243,1.03,0.002,6
150,0.0086,0.344,40,75500,90000,1978,0.197,1.12,0.037,6
151,0.014333333,0.344,24,64000,91000,1972,0.183,1.41,0.001,5
152,0.015636364,0.344,22,42100,72000,1949,0.22,0.498,0.001,2
153,0.015636364,0.344,22,47000,73000,1949,0.22,0.498,0.001,2
154,0.015636364,0.344,22,51500,75000,1949,0.292,0.851,0.002,4
155,0.015636364,0.344,22,52500,76500,1949,0.234,0.699,0.002,4
156,0.015636364,0.344,22,53000,79500,1949,0.29,0.951,0.002,4
157,0.015636364,0.344,22,55000,80500,1949,0.268,0.816,0.002,4
158,0.015636364,0.344,22,59500,82000,1952,0.266,1.04,0.003,5
159,0.0172,0.344,20,55800,81000,1952,0.25,1.1,0,5
160,0.0172,0.344,20,57000,76000,1952,0.27,1.1,0.001,5
161,0.0172,0.344,20,61000,84000,1952,0.266,1.06,0.001,5
162,0.0172,0.344,20,64000,80500,1962,0.227,1.03,0.001,6
163,0.0172,0.344,20,69500,79000,1952,0.23,0.93,0,5
164,0.032,0.344,10.75,41900,70000,1934,0.259,0.463,0.002,2
165,0.032,0.344,10.75,42700,69000,1934,0.271,0.463,0.002,2
166,0.032,0.344,10.75,46600,72500,1934,0.268,0.438,0.002,2
167,0.032,0.344,10.75,49500,62000,1948,0.202,0.461,0.001,2
168,0.032,0.344,10.75,51000,65500,1948,0.261,0.549,0.003,2
169,0.032,0.344,10.75,52000,66000,1948,0.243,0.485,0.002,2
170,0.032,0.344,10.75,52500,66000,1948,0.207,0.64,0.006,2
171,0.074888889,0.337,4.5,40300,69500,1958,0.235,0.498,0.001,2
172,0.074888889,0.337,4.5,48500,67500,1960,0.227,0.78,0.003,2
173,0.025882353,0.33,12.75,42800,63500,1939,0.24,0.57,0,3
174,0.025882353,0.33,12.75,43000,71000,1939,0.24,0.57,0,3
175,0.025882353,0.33,12.75,44200,74500,1939,0.24,0.57,0,3
176,0.025882353,0.33,12.75,45100,63500,1939,0.24,0.57,0,3
177,0.025882353,0.33,12.75,46000,73000,1939,0.24,0.57,0,3
178,0.025882353,0.33,12.75,46800,71000,1939,0.24,0.57,0,3
179,0.025882353,0.33,12.75,46800,69500,1939,0.24,0.57,0,3
180,0.025882353,0.33,12.75,48100,74000,1939,0.24,0.57,0,3
181,0.025882353,0.33,12.75,48100,74000,1939,0.24,0.57,0,3
182,0.025882353,0.33,12.75,48900,73500,1939,0.24,0.57,0,3
183,0.037333333,0.322,8.625,33200,57500,1964,0.126,0.521,0.001,2
184,0.037333333,0.322,8.625,33600,45200,1905,0.032,0.109,0,2
185,0.037333333,0.322,8.625,36100,49000,1943,0.037,0.361,0.002,1
186,0.037333333,0.322,8.625,37000,55500,1957,0.051,0.483,0.001,1
187,0.037333333,0.322,8.625,37500,54000,1905,0.119,0.448,0.001,2
188,0.037333333,0.322,8.625,38100,49500,1948,0.082,0.453,0.001,2
189,0.037333333,0.322,8.625,38200,60000,1957,0.03,0.332,0.001,1
190,0.037333333,0.322,8.625,38300,55000,1943,0.036,0.374,0.002,1
191,0.037333333,0.322,8.625,38400,63500,1946,0.216,0.435,0.001,2
