ID,OD_WT_Ratio,Pipe_WT,Pipe_OD,Yield_Strength,Tensile_Strength,Pipe_Vintage,C,Mn,Nb,YS_TS_Ratio,C_Mn_Ratio,WT_OD_YS,WT_OD_C_Mn,YS_C,YS_Mn,WT_OD_YS_C,WT_OD_YS_Mn,WT_OD_YS_TS_C_Mn,Pipe_Grade
213,0.0104,0.312,30,46200,62800,1953,0.087,0.48,0,0.736,0.181,480.5,0.3909,4019,22176,6270.3,207567,0.28755,5
214,0.0104,0.312,30,56800,82100,1969,0.243,1.29,0.001,0.692,0.188,590.7,2.9341,13802,73272,21531.7,685826,2.02991,5
215,0.0104,0.312,30,57700,83200,1969,0.195,1.25,0.001,0.694,0.156,600.1,2.2815,11252,72125,17552.3,675090,1.58224,5
216,0.0104,0.312,30,61500,80700,1969,0.202,1.15,0.001,0.762,0.176,639.6,2.1743,12423,70725,19379.9,661986,1.65702,5
217,0.0104,0.312,30,66300,93500,1969,0.207,1.34,0.001,0.709,0.154,689.5,2.5963,13724,88842,21409.6,831561,1.84100,5
391,0.010416667,0.25,24,52900,74200,1948,0.23,0.75,0,0.713,0.307,551.0,1.0350,12167,39675,15208.8,238050,0.73789,5
392,0.010416667,0.25,24,55500,83500,1967,0.307,1.2,0.004,0.665,0.256,578.1,2.2104,17039,66600,21298.1,399600,1.46919,5
393,0.010416667,0.25,24,57500,78500,1953,0.23,0.79,0,0.732,0.291,599.0,1.0902,13225,45425,16531.3,272550,0.79855,5
394,0.010416667,0.25,24,58000,77000,1948,0.22,0.82,0,0.753,0.268,604.2,1.0824,12760,47560,15950.0,285360,0.81531,5
395,0.010416667,0.25,24,58000,79000,1948,0.27,0.73,0,0.734,0.370,604.2,1.1826,15660,42340,19575.0,254040,0.86824,5
396,0.010416667,0.25,24,59000,78000,1948,0.23,0.76,0,0.756,0.303,614.6,1.0488,13570,44840,16962.5,269040,0.79332,5
397,0.010416667,0.25,24,59000,83000,1948,0.24,0.89,0,0.711,0.270,614.6,1.2816,14160,52510,17700.0,315060,0.91102,5
398,0.010416667,0.25,24,60000,79500,1953,0.25,0.77,0.002,0.755,0.325,625.0,1.1550,15000,46200,18750.0,277200,0.87170,5
399,0.010416667,0.25,24,60500,82500,1953,0.3,0.93,0.002,0.733,0.323,630.2,1.6740,18150,56265,22687.5,337590,1.22760,5
400,0.010416667,0.25,24,62500,82500,1952,0.24,0.8,0.002,0.758,0.300,651.0,1.1520,15000,50000,18750.0,300000,0.87273,5
401,0.010416667,0.25,24,64700,82200,1952,0.25,0.75,0,0.787,0.333,674.0,1.1250,16175,48525,20218.8,291150,0.88549,5
402,0.010416667,0.25,24,65000,85000,1948,0.27,0.82,0,0.765,0.329,677.1,1.3284,17550,53300,21937.5,319800,1.01584,5
404,0.010416667,0.25,24,66000,78700,1948,0.27,0.9,0,0.839,0.300,687.5,1.4580,17820,59400,22275.0,356400,1.22272,5
317,0.010807692,0.281,26,53500,76000,1957,0.23,0.93,0,0.704,0.247,578.2,1.5628,12305,49755,17288.5,363510,1.10010,5
318,0.010807692,0.281,26,54500,76000,1954,0.255,1.049,0.003,0.717,0.243,589.0,1.9543,13898,57171,19526.0,417688,1.40145,5
319,0.010807692,0.281,26,62000,89000,1949,0.29,1.04,0,0.697,0.279,670.1,2.2035,17980,64480,25261.9,471091,1.53502,5
322,0.010807692,0.281,26,73000,81000,1956,0.29,1,0,0.901,0.290,789.0,2.1187,21170,73000,29743.9,533338,1.90948,5
1286,0.010807692,0.281,26,58436,78915,1954,0.239,0.996,0.001,0.740,0.240,631.6,1.7391,13966,58202,19622.5,425226,1.28783,5
1287,0.010807692,0.281,26,52702,78723,1954,0.239,0.996,0.001,0.669,0.240,569.6,1.7391,12596,52491,17697.1,383501,1.16429,5
1288,0.010807692,0.281,26,60063,80154,1954,0.268,1.155,0.001,0.749,0.232,649.1,2.2615,16097,69373,22616.1,506837,1.69464,5
1289,0.010807692,0.281,26,52903,79592,1954,0.268,1.155,0.001,0.665,0.232,571.8,2.2615,14178,61103,19920.1,446418,1.50317,5
1290,0.010807692,0.281,26,56444,76663,1954,0.249,0.961,0.001,0.736,0.259,610.0,1.7482,14055,54243,19746.7,396297,1.28717,5
1291,0.010807692,0.281,26,49770,75049,1954,0.249,0.961,0.001,0.663,0.259,537.9,1.7482,12393,47829,17411.8,349438,1.15938,5
1292,0.010807692,0.281,26,60398,83233,1954,0.279,1.082,0.002,0.726,0.258,652.8,2.2055,16851,65351,23675.7,477452,1.60044,5
1293,0.010807692,0.281,26,52622,82360,1954,0.279,1.082,0.002,0.639,0.258,568.7,2.2055,14682,56937,20627.6,415982,1.40917,5
1294,0.010807692,0.281,26,56169,78151,1954,0.258,0.995,0.002,0.719,0.259,607.1,1.8755,14492,55888,20360.7,408319,1.34798,5
1295,0.010807692,0.281,26,50686,77397,1954,0.258,0.995,0.002,0.655,0.259,547.8,1.8755,13077,50433,18373.2,368460,1.22825,5
652,0.01095,0.219,20,59500,78000,1968,0.308,1.11,0.001,0.763,0.277,651.5,1.4974,18326,66045,20067.0,289277,1.14227,5
653,0.01095,0.219,20,64000,81500,1968,0.249,1.08,0.002,0.785,0.231,700.8,1.1779,15936,69120,17449.9,302746,0.92495,5
654,0.01095,0.219,20,67000,91500,1968,0.258,1.06,0.019,0.732,0.243,733.7,1.1978,17286,71020,18928.2,311068,0.87711,5
655,0.01095,0.219,20,68000,91500,1968,0.235,1.08,0.001,0.743,0.218,744.6,1.1116,15980,73440,17498.1,321667,0.82614,5
656,0.01095,0.219,20,69000,93000,1968,0.266,1.21,0.001,0.742,0.220,755.6,1.4097,18354,83490,20097.6,365686,1.04594,5
657,0.01095,0.219,20,69000,93000,1968,0.266,1.21,0.001,0.742,0.220,755.6,1.4097,18354,83490,20097.6,365686,1.04594,5
658,0.01095,0.219,20,71500,94000,1968,0.258,1.15,0.001,0.761,0.224,782.9,1.2995,18447,82225,20199.5,360146,0.98848,5
409,0.011363636,0.25,22,61000,89000,1949,0.27,1.06,0.004,0.685,0.255,693.2,1.5741,16470,64660,20587.5,355630,1.07888,5
410,0.011363636,0.25,22,63000,89000,1949,0.28,1.01,0.004,0.708,0.277,715.9,1.5554,17640,63630,22050.0,349965,1.10101,5
411,0.011363636,0.25,22,63000,89000,1949,0.27,1.06,0.004,0.708,0.255,715.9,1.5741,17010,66780,21262.5,367290,1.11425,5
412,0.011363636,0.25,22,65000,91000,1949,0.28,1.01,0.004,0.714,0.277,738.6,1.5554,18200,65650,22750.0,361075,1.11100,5
642,0.0115,0.23,20,56500,84500,1968,0.268,1.12,0.001,0.669,0.239,649.8,1.3807,15142,63280,17413.3,291088,0.92321,5
643,0.0115,0.23,20,57000,74000,1968,0.27,1.06,0,0.770,0.255,655.5,1.3165,15390,60420,17698.5,277932,1.01408,5
644,0.0115,0.23,20,57500,76500,1968,0.252,1.17,0.001,0.752,0.215,661.3,1.3563,14490,67275,16663.5,309465,1.01941,5
645,0.0115,0.23,20,59500,79000,1968,0.252,1.17,0.001,0.753,0.215,684.3,1.3563,14994,69615,17243.1,320229,1.02149,5
646,0.0115,0.23,20,60100,82000,1968,0.28,1.08,0.002,0.733,0.259,691.2,1.3910,16828,64908,19352.2,298577,1.01953,5
647,0.0115,0.23,20,60500,82000,1968,0.248,1.16,0.001,0.738,0.214,695.8,1.3233,15004,70180,17254.6,322828,0.97636,5
648,0.0115,0.23,20,63500,83500,1968,0.268,1.12,0.001,0.760,0.239,730.3,1.3807,17018,71120,19570.7,327152,1.05002,5
649,0.0115,0.23,20,66500,91000,1968,0.236,1.22,0.029,0.731,0.193,764.8,1.3244,15694,81130,18048.1,373198,0.96785,5
650,0.0115,0.23,20,67500,88000,1968,0.248,1.16,0.001,0.767,0.214,776.3,1.3233,16740,78300,19251.0,360180,1.01505,5
651,0.0115,0.23,20,68000,88500,1968,0.236,1.22,0.029,0.768,0.193,782.0,1.3244,16048,82960,18455.2,381616,1.01764,5
1272,0.0115,0.23,20,65253,78765,1968,0.289,1.17,0.001,0.828,0.247,750.4,1.5554,18858,76346,21686.8,351192,1.28857,5
323,0.011708333,0.281,24,52600,72250,1958,0.24,1.09,0.004,0.728,0.220,615.9,1.7642,12624,57334,17736.7,386660,1.28441,5
324,0.011708333,0.281,24,56500,79000,1952,0.261,0.948,0.003,0.715,0.275,661.5,1.6687,14747,53562,20718.8,361222,1.19340,5
325,0.011708333,0.281,24,58000,78500,1952,0.269,1.07,0.004,0.739,0.251,679.1,1.9411,15602,62060,21920.8,418533,1.43421,5
326,0.011708333,0.281,24,59000,81500,1960,0.257,1.1,0.001,0.724,0.234,690.8,1.9065,15163,64900,21304.0,437686,1.38019,5
327,0.011708333,0.281,24,59500,79500,1952,0.243,1.01,0.003,0.748,0.241,696.6,1.6552,14459,60095,20314.2,405281,1.23878,5
328,0.011708333,0.281,24,60000,82500,1960,0.263,1.11,0.001,0.727,0.237,702.5,1.9688,15780,66600,22170.9,449150,1.43184,5
329,0.011708333,0.281,24,60300,78100,1952,0.278,0.982,0.002,0.772,0.283,706.0,1.8411,16763,59215,23552.6,399343,1.42148,5
330,0.011708333,0.281,24,62500,83000,1952,0.269,1.07,0.004,0.753,0.251,731.8,1.9411,16813,66875,23621.6,451005,1.46169,5
331,0.011708333,0.281,24,64500,88000,1952,0.264,0.976,0.003,0.733,0.270,755.2,1.7377,17028,62952,23924.3,424548,1.27364,5
333,0.011708333,0.281,24,68000,85500,1960,0.25,1.1,0.001,0.795,0.227,796.2,1.8546,17000,74800,23885.0,504451,1.47500,5
218,0.012,0.312,26,62000,82550,1951,0.25,0.91,0.003,0.751,0.275,744.0,1.8455,15500,56420,24180.0,457679,1.38607,5
219,0.012,0.312,26,66500,85500,1951,0.243,1.11,0.001,0.778,0.219,798.0,2.1880,16160,73815,25208.8,598787,1.70182,5
220,0.012,0.312,26,67000,85500,1951,0.261,0.99,0.001,0.784,0.264,804.0,2.0961,17487,66330,27279.7,538069,1.64253,5
210,0.012019231,0.3125,26,64500,82000,1951,0.23,1.03,0,0.787,0.223,775.2,1.9248,14835,66435,23179.7,539784,1.51403,5
659,0.012166667,0.219,18,60000,82000,1962,0.262,1.16,0.001,0.732,0.226,730.0,1.1981,15720,69600,17213.4,274363,0.87662,5
59,0.0125,0.375,30,43200,79500,1957,0.272,1.1,0.003,0.543,0.247,540.0,3.3660,11750,47520,22032.0,534600,1.82907,5
60,0.0125,0.375,30,45700,80500,1957,0.272,1.1,0.003,0.568,0.247,571.3,3.3660,12430,50270,23307.0,565538,1.91088,5
61,0.0125,0.375,30,52000,80000,1957,0.243,1.06,0.003,0.650,0.229,650.0,2.8978,12636,55120,23692.5,620100,1.88355,5
62,0.0125,0.375,30,53000,79000,1957,0.252,1.12,0.003,0.671,0.225,662.5,3.1752,13356,59360,25042.5,667800,2.13020,5
63,0.0125,0.375,30,53000,79500,1957,0.252,1.12,0.003,0.667,0.225,662.5,3.1752,13356,59360,25042.5,667800,2.11680,5
64,0.0125,0.375,30,55800,82600,1952,0.24,0.98,0.003,0.676,0.245,697.5,2.6460,13392,54684,25110.0,615195,1.78749,5
65,0.0125,0.375,30,55800,82600,1952,0.27,1.08,0.003,0.676,0.250,697.5,3.2805,15066,60264,28248.8,677970,2.21612,5
66,0.0125,0.375,30,56600,82500,1952,0.24,0.98,0.003,0.686,0.245,707.5,2.6460,13584,55468,25470.0,624015,1.81532,5
67,0.0125,0.375,30,56600,82500,1952,0.27,1.08,0.003,0.686,0.250,707.5,3.2805,15282,61128,28653.8,687690,2.25062,5
68,0.0125,0.375,30,57500,81000,1957,0.243,1.06,0.003,0.710,0.229,718.8,2.8978,13973,60950,26198.4,685688,2.05706,5
417,0.0125,0.25,20,54500,79500,1949,0.269,0.981,0.002,0.686,0.274,681.3,1.3194,14661,53465,18325.6,267323,0.90453,5
418,0.0125,0.25,20,57400,78500,1967,0.156,1.07,0.024,0.731,0.146,717.5,0.8346,8954,61418,11193.0,307090,0.61027,5
419,0.0125,0.25,20,58100,82700,1967,0.242,1.16,0.001,0.703,0.209,726.3,1.4036,14060,67396,17575.3,336980,0.98608,5
420,0.0125,0.25,20,63300,80900,1967,0.157,1.07,0.023,0.782,0.147,791.3,0.8400,9938,67731,12422.6,338655,0.65722,5
422,0.0125,0.25,20,63500,87000,1973,0.245,1.24,0.019,0.730,0.198,793.8,1.5190,15558,78740,19446.9,393700,1.10870,5
335,0.012772727,0.281,22,58500,82500,1952,0.262,0.968,0.003,0.709,0.271,747.2,1.5679,15327,56628,21534.4,350074,1.11175,5
222,0.013,0.312,24,57000,80500,1948,0.239,1.005,0.001,0.708,0.238,741.0,1.7986,13623,57285,21251.9,428950,1.27353,5
223,0.013,0.312,24,59000,84500,1948,0.309,1.15,0.001,0.698,0.269,767.0,2.6609,18231,67850,28440.4,508061,1.85788,5
224,0.013,0.312,24,61000,82500,1948,0.246,1.175,0.001,0.739,0.209,793.0,2.1644,15006,71675,23409.4,536702,1.60035,5
225,0.013,0.312,24,62500,84000,1948,0.246,1.01,0.001,0.744,0.244,812.5,1.8605,15375,63125,23985.0,472680,1.38428,5
226,0.013,0.312,24,63000,87500,1948,0.244,1.205,0.001,0.720,0.202,819.0,2.2016,15372,75915,23980.3,568452,1.58517,5
227,0.013,0.312,24,63500,87000,1948,0.285,1.12,0.001,0.730,0.254,825.5,2.3902,18098,71120,28232.1,532547,1.74455,5
1224,0.013,0.312,24,53500,67000,1948,0.293,0.96,0.001,0.799,0.305,695.5,2.1062,15676,51360,24453.8,384584,1.68184,5
