ML_DefectID_s7,ML_AxDist_s7,ML_AxLength_s7,ML_AxWidth_s7,ML_MaxDepthPer_s7,ML_FailurePressure_s7,ML_AvgDepth_s7,ML_Orient_s7,ML_AvgDepthPer_s7,ML_MaxDepth_s7,ML_MinRemWall_s7,ML_FactorSafety_s7,ML_FailurePressType_s7,ML_DepthMeasured_s7,ML_CorrosionType_s7,ML_LocThruWall_s7,ML_FullCirc_s7,ML_RefGW_s7,ML_ScanID_s7,ML_AcWallThickness_s7,ML_ILI_DefectID_s7,ML_AssocDefectID_s7,ML_DefectStatus_s7
DMA-031,9.112,22,17,25.04,8990,1.714,335.1,18.43,2.329,6.971,1.48,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-032,9.124,54,25,19.54,8934,1.05,347.8,11.29,1.817,7.483,1.47,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-033,9.148,28,32,15.02,9000,0.748,35.3,8.05,1.397,7.903,1.48,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-034,9.17,12,9,11.77,9012,1.01,10.9,10.86,1.095,8.205,1.49,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-035,9.254,28,19,14.16,9005,0.568,11,6.11,1.317,7.983,1.48,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
DMA-036,9.5,6,8,14.76,9015,1.117,29.1,12.01,1.373,7.927,1.49,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
DMA-037,9.516,24,23,29.52,8979,1.925,346.9,20.7,2.745,6.555,1.48,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
DMA-038,9.544,2,2,10.27,9016,0.955,30,10.27,0.955,8.345,1.49,Mod. B31G,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
DMA-039,9.596,4,4,12.33,9016,1.083,12.3,11.65,1.147,8.153,1.49,Mod. B31G,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
DMA-040,9.606,24,22,24.2,8988,1.567,347.9,16.85,2.251,7.049,1.48,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
DMA-041,9.66,2,2,10.38,9016,0.965,10.8,10.38,0.965,8.335,1.49,Mod. B31G,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-042,9.688,10,6,13.65,9014,0.99,11.2,10.65,1.269,8.031,1.49,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
DMA-043,9.69,4,5,11.06,9016,1.003,345.4,10.79,1.029,8.271,1.49,Mod. B31G,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
DMA-044,9.728,2,2,10.67,9016,0.992,345.9,10.67,0.992,8.308,1.49,Mod. B31G,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
DMA-045,9.738,8,7,17.52,9014,1.337,29.9,14.37,1.629,7.671,1.49,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-046,9.778,40,22,21.58,8960,1.184,11,12.73,2.007,7.293,1.48,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
DMA-047,9.824,2,2,11.38,9016,1.058,345.9,11.38,1.058,8.242,1.49,Mod. B31G,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
DMA-048,9.846,8,4,11.43,9015,0.991,11,10.66,1.063,8.237,1.49,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
DMA-049,9.854,10,6,15.24,9013,1.202,30.6,12.93,1.417,7.883,1.49,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
DMA-050,9.902,2,2,10.65,9016,0.99,8.4,10.65,0.99,8.31,1.49,Mod. B31G,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-051,9.962,58,45,33.96,8870,1.471,11.8,15.82,3.158,6.142,1.46,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
