ID,Pipe OD,Pipe WT,Yield_Strength,Tensile_Strength,%C,%Mn,%S,%P,%Si,%Al,%Cr,%Mo,%V,%Ni,%Cu,%Ti,%Nb,Pipe Vintage,Pipe Grade
165,10.75,0.188,44500,60500,0.12,0.54,0.027,0.01,0.051,0.01,0.017,0.003,0,0.008,0.017,0,0,1928,Grade A
1226,8.625,0.193,45000,51000,0.092,0.381,0.016,0.004,0.004,0.002,0.025,0.006,0,0.051,0.053,0.001,0.001,1958,Grade A
340,6.625,0.312,46400,53500,0.045,0.415,0.015,0.005,0.003,0.001,0.013,0.006,0.001,0.021,0.071,0.002,0.002,1955,Grade A
525,6.625,0.312,47700,54500,0.056,0.44,0.014,0.004,0.002,0.003,0.017,0.008,0,0.046,0.064,0.002,0.002,1955,Grade A
163,10.75,0.188,47900,53500,0.1,0.48,0.032,0.009,0.062,0.005,0.02,0.003,0,0.008,0.018,0,0,1928,Grade A
817,8.625,0.277,31300,54000,0.143,0.481,0.022,0.007,0.008,0.008,0.007,0.001,0,0.009,0.044,0.001,0.001,1929,Grade B
817,8.625,0.277,31300,54000,0.143,0.449,0.023,0.007,0.016,0.009,0.007,0.001,0,0.008,0.011,0.001,0.001,1929,Grade B
817,8.625,0.277,31300,54000,0.144,0.447,0.02,0.007,0.008,0.008,0.007,0.001,0,0.009,0.044,0.001,0.001,1929,Grade B
817,8.625,0.277,31300,54000,0.141,0.448,0.022,0.007,0.015,0.012,0.007,0.001,0,0.007,0.012,0.001,0.001,1929,Grade B
817,8.625,0.277,31800,53500,0.143,0.481,0.022,0.007,0.008,0.008,0.007,0.001,0,0.009,0.044,0.001,0.001,1929,Grade B
817,8.625,0.277,31800,53500,0.143,0.449,0.023,0.007,0.016,0.009,0.007,0.001,0,0.008,0.011,0.001,0.001,1929,Grade B
