ID,OD_WT_Ratio,Pipe_WT,Pipe_OD,Yield_Strength,Tensile_Strength,Pipe_Vintage,C,Mn,Nb,YS/TS,C/Mn,WT/OD*YS,WT*OD*C*Mn,YS*C,YS*Mn,WT*YS*C,WT*OD*YS*Mn,WT*OD*YS*TS*C*Mn,Pipe_Grade
1025,0.043689883,0.377,8.629,73400,86600,1982,0.061,1.007,0.038,0.85,0.061,3206.8,0.1998,4477,73914,1688.0,240451,0.16937,5
26,0.046511628,0.5,10.75,71500,75700,2012,0.056,1,0.016,0.94,0.056,3325.6,0.3010,4004,71500,2002.0,384313,0.28430,5
27,0.046511628,0.5,10.75,73000,79000,2012,0.059,0.99,0.014,0.92,0.060,3395.3,0.3140,4307,72270,2153.5,388451,0.29011,5
635,0.053111111,0.239,4.5,66500,92000,2015,0.212,1.13,0.001,0.72,0.188,3531.9,0.2576,14098,75145,3369.4,80818,0.18623,5
1168,0.061714286,0.216,3.5,73268,74913,2014,0.053,1.03,0.02,0.98,0.051,4521.7,0.0413,3883,75466,838.8,57052,0.04036,5
150,0.0086,0.344,40,75500,90000,1978,0.197,1.12,0.037,0.84,0.176,649.3,3.0360,14874,84560,5116.5,1163546,2.54687,6
403,0.010416667,0.25,24,65000,89500,1968,0.245,1.31,0.014,0.73,0.187,677.1,1.9257,15925,85150,3981.3,510900,1.39855,6
405,0.010416667,0.25,24,67000,93500,1968,0.245,1.31,0.014,0.72,0.187,697.9,1.9257,16415,87770,4103.8,526620,1.37991,6
406,0.010416667,0.25,24,70500,92000,1963,0.247,1.29,0.018,0.77,0.191,734.4,1.9118,17414,90945,4353.4,545670,1.46501,6
407,0.010416667,0.25,24,72500,92000,1968,0.204,1.28,0.026,0.79,0.159,755.2,1.5667,14790,92800,3697.5,556800,1.23464,6
408,0.010416667,0.25,24,74000,90500,1968,0.204,1.28,0.026,0.82,0.159,770.8,1.5667,15096,94720,3774.0,568320,1.28107,6
320,0.010807692,0.281,26,66500,92500,1968,0.251,1.36,0.016,0.72,0.185,718.7,2.4940,16692,90440,4690.3,660755,1.79297,6
321,0.010807692,0.281,26,72000,101000,1968,0.244,1.34,0.015,0.71,0.182,778.2,2.3888,17568,96480,4936.6,704883,1.70289,6
